"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 433872771.833233 2705616.96122792 0 3675315.31447429 2715615.96122792 0
1979-08-12 8 2 12 1979 0 244266448.721387 2343078.00498026 0 2204088.02435857 2353077.00498026 0
1979-08-19 8 3 19 1979 0 184932822.466214 2163324.30317106 0 1940253.76118262 2173323.30317106 0
1979-08-26 8 4 26 1979 0 167726710.785647 2158573.96172219 0 1687363.70420009 2168572.96172219 0
1979-09-02 9 5 2 1979 21373.5122074365 40896857.6582831 2683327.94634164 127116.749855353 1093367.25014465 2603848.28663786 484800
1979-09-09 9 6 9 1979 91550.0004521465 40197049.735189 2933730.75976435 503871.514287067 760244.485712933 2588561.93102255 181800
1979-09-16 9 7 16 1979 83591.0169087034 40783648.4708547 2808585.8763774 464989.211838503 842758.788161497 2543900.60296366 181800
1979-09-23 9 8 23 1979 98980.651177922 39750688.0076033 2751885.38830172 537777.975483463 813602.024516537 2438147.38567417 181800
1979-09-30 9 9 30 1979 122294.075433526 38515543.2681462 2504389.1817753 653982.93696427 741029.06303573 2113609.87584752 181800
1979-10-07 10 10 7 1979 153295.988929809 33138755.3289378 3142175.47957145 693081.11040172 736836.48959828 2677382.11236598 363600
1979-10-14 10 11 14 1979 157487.14796219 32104360.4940961 2535489.02680121 718059.23286027 746763.96713973 2069136.97573723 363600
1979-10-21 10 12 21 1979 161041.489078268 31047878.2967513 1835418.20487979 738923.047536068 760805.752463932 1382858.40896059 363600
1979-10-28 10 13 28 1979 165418.991013062 29962100.2813486 1092568.28365241 764958.122731633 769676.277268367 671165.120297866 363600
1979-11-04 11 14 4 1979 0 28718458.63086 294326.764548905 0 1769191.08250772 304325.764548905 148408.917492279
1979-11-11 11 15 11 1979 0 28501659.5004029 2254547.47353415 0 1768745.88614259 2264546.47353415 3014454.11385741
1979-11-18 11 16 18 1979 0 26655712.2194404 604985.237114607 0 1750416.81401185 614984.237114606 2989583.18598815
1979-11-25 11 17 25 1979 0 25983245.6136348 138775.129172864 0 1752228.07079189 148774.129172864 2944571.92920811
1979-12-02 12 18 2 1979 0 25172194.4089812 133636.798263339 0 1794944.87021394 143635.798263339 2858655.12978606
1979-12-09 12 19 9 1979 0 24546815.3305641 3518602.64941934 0 1676364.21708541 3528601.64941934 1629051.98291459
1979-12-16 12 20 16 1979 0 22701216.0076551 2248227.24760273 0 1628000.61548084 2258226.24760273 1757210.18451916
1979-12-23 12 21 23 1979 12299.7292047986 20876545.6219007 868279.60657284 53059.2890632227 1603744.71093678 847872.424563661 1824605.4
1979-12-30 12 22 30 1979 32243.8882329852 19612047.9016199 65642.5864090085 132194.616364902 1611873.3836351 54987.5834630201 1454400
1980-01-06 1 23 6 1980 63273.2935869561 22709802.2649533 4372583.92707823 257151.189078196 1490310.4109218 4214343.70563717 727200
1980-01-13 1 24 13 1980 104301.748073281 21689196.1912036 3544154.12555242 442674.391402377 1308180.80859762 3265126.5342527 727200
1980-01-20 1 25 20 1980 68359.3053425179 20402521.3565366 2514773.67841527 305645.001894449 1448603.79810555 2326352.29610929 727200
1980-01-27 1 26 27 1980 42545.902232978 19298537.3587822 1613737.22240565 204957.07871299 1552685.32128701 1496944.49018202 727200
1980-02-03 2 27 3 1980 44623.6964959338 18346689.4177688 839209.697322312 238328.934501361 1522707.06549864 702001.362437973 727200
1980-02-10 2 28 10 1980 22582.9035126487 17385945.5801445 2043662.27428789 108626.006788588 1539087.99321141 1985449.88979783 969600
1980-02-17 2 29 17 1980 3750.89892611036 16334033.9296168 1365623.86372907 23164.1673875761 1511227.83261242 1360787.82557176 969600
1980-02-24 2 30 24 1980 0 15372474.6534058 757671.360423688 0 1424292.1906005 767670.360423688 952307.809399501
1980-03-02 3 31 2 1980 0 14650164.1568251 369767.774257548 0 1490234.43307481 379766.774257548 774165.566925187
1980-03-09 3 32 9 1980 0 14261222.0030329 954279.977117722 0 1398567.45154347 964278.977117722 1857332.54845653
1980-03-16 3 33 16 1980 0 13304059.175877 383730.241874679 0 1426870.23022057 393729.241874679 1729729.76977943
1980-03-23 3 34 23 1980 0 12953569.4562513 382216.602532955 0 1443308.28803444 392215.602532955 1613991.71196556
1980-03-30 3 35 30 1980 0 12575521.0975134 384187.437562741 0 1480301.93267337 394186.437562741 1477698.06732663
1980-04-06 4 36 6 1980 0 12216518.5218826 277805.708147276 0 1315558.99180594 287804.708147276 1460941.00819406
1980-04-13 4 37 13 1980 0 12636441.6255784 348568.343500779 0 1464967.75374602 358567.343500779 1251232.24625398
1980-04-20 4 38 20 1980 0 14833994.1975528 847206.084986447 0 1950990.00739195 857205.084986447 704909.99260805
1980-04-27 4 39 27 1980 0 17690127.5678084 1879145.34843838 0 3423434.30185247 1889144.34843838 0
1980-05-04 5 40 4 1980 0 22322302.88469 1736266.01940086 0 3054106.37433831 1746265.01940086 0
1980-05-11 5 41 11 1980 0 25724813.7226964 2778214.76823987 0 3044153.79217234 2788213.76823987 0
1980-05-18 5 42 18 1980 0 29197265.2800315 4120304.72878325 0 2959190.84598672 4130303.72878325 0
1980-05-25 5 43 25 1980 0 38261152.45773 5309696.74630766 0 3002415.96255589 5319695.74630766 0
1980-06-01 6 44 1 1980 0 34950416.1358393 5870119.77295441 0 3227469.50891064 5880118.77295441 0
1980-06-08 6 45 8 1980 0 37083158.4747696 3150554.34087873 0 3333992.35443483 3160553.34087873 0
1980-06-15 6 46 15 1980 0 39187494.2339695 3268154.25805758 0 3809311.82046252 3278153.25805758 0
1980-06-22 6 47 22 1980 0 40702508.6719174 3003547.73809527 0 3189521.14181636 3013546.73809527 0
1980-06-29 6 48 29 1980 0 211928837.187802 2741694.83612573 0 3330567.9102282 2751693.83612573 0
