"Year","Month","BROWN","LGOOS","LMONU","LGRAN"
1979,8,15597.0420748118,26144.5513324077,26534.875863728,26132.5860770302
1979,9,14769.4003114099,22606.4936828289,22838.2582862233,22593.2500806634
1979,10,17024.0982685264,24832.7006504087,24997.6247472118,24849.5483717324
1979,11,15362.763105094,22697.4071987354,22935.1958806373,22692.3649098755
1979,12,14579.2744949916,24753.5507615175,25521.8304970493,24761.9641499142
1980,1,18441.1021602103,29585.3392497417,31165.5205400456,29588.467272832
1980,2,20600.8504478346,36523.3184525464,38589.1237820866,36652.6636192593
1980,3,18371.5426913204,40335.572452919,42513.644558423,40271.2236703283
1980,4,30028.4307404533,75925.0300326655,77580.6547895942,76232.7915403667
1980,5,47444.8959028627,138974.468062516,140399.449841307,139001.547322988
1980,6,41295.2745539675,113836.538468995,114902.737741614,113717.837543324
1980,7,20154.1568391755,51617.0341760756,52151.3617599593,51492.980425659
1980,8,13256.7528210198,24665.8776603154,24984.583134406,24653.2524262112
1980,9,17151.4278403921,28453.4338087886,28685.3566300756,28479.9223260015
1980,10,15599.4310896033,24330.7412076228,24495.2543058703,24341.231199442
1980,11,15778.6003603549,27970.5951020958,28290.5302672474,27991.2850864773
1980,12,17658.0599456078,41676.4362697266,42928.0993784725,41834.0510458968
1981,1,17833.9068256526,38943.4736563003,40253.5999269986,38876.6258471654
1981,2,22374.0539800064,51031.7262166097,54167.9999527391,51054.2021995493
1981,3,20092.9105913832,41571.7178974436,43032.276733104,41583.4814090459
1981,4,27047.910481293,66335.1206940621,68265.1862183381,66419.251365547
1981,5,36909.4368781364,111341.82217361,112430.65355247,111351.107519362
1981,6,38017.9065190141,131835.46065531,132802.732480091,131669.874096791
1981,7,15805.5868595343,44783.6038036467,45372.9074886683,44682.8768677366
1981,8,12258.526666022,23534.4536895981,23885.8545022414,23491.1493915225
1981,9,13968.8440544631,21601.512430272,21792.3293424054,21600.3066003646
1981,10,16998.2960975589,26997.7221608487,27193.2657504147,26993.9290316073
1981,11,16893.9566959656,29115.035858133,29522.3053967829,29112.2096666857
1981,12,20401.1413507799,37896.0280816758,39036.2953049394,37901.7126770737
1982,1,16074.6901224625,31573.7158205239,33869.6680534587,31605.6427824409
1982,2,35611.4311262456,80501.4751808753,86696.5507486315,80674.8166325661
1982,3,36124.1545134918,77995.286503422,82134.4230226414,77987.4041684802
1982,4,48767.6494806788,98712.0691486736,102079.164859971,98868.997193679
1982,5,67104.6679524708,176906.532419174,178756.349720794,176941.48225553
1982,6,58704.0819973789,197743.730409862,198784.193610428,197834.820073918
1982,7,37856.3075802767,100873.277549841,101472.974667156,100495.038465455
1982,8,19586.7168610149,37315.5380752252,37655.4143036948,37262.1569234089
1982,9,18305.0673257457,29754.1466694556,30014.5038701702,29787.3319086782
1982,10,19132.4382086897,34464.7254017832,34743.4340997954,34505.420138436
1982,11,19764.2943070671,33361.6848822755,33806.387889252,33365.5171645793
1982,12,24719.8024640845,40517.8924574397,41723.1850676137,40495.616565843
1983,1,27567.5872441054,48218.750870651,50545.2500819537,48256.2994766547
1983,2,31165.2380512579,57162.3866155651,60265.2970409929,57258.1052748185
1983,3,55151.6918230473,99015.1595985664,102733.395453612,99062.5860836667
1983,4,52606.2824830194,89930.7500884318,91989.0754501221,89938.576218943
1983,5,71444.0796763188,149132.03802916,150499.695084421,149435.726739303
1983,6,64506.8214428699,159351.84033722,160190.113123272,159043.29332711
1983,7,34086.8591148329,76558.7560611809,77163.3600453602,76383.8984492856
1983,8,21672.2093840643,39081.1719037522,39456.3490811984,39059.0850930394
1983,9,18086.1494648418,28981.2069108402,29244.9881166357,28979.5331214626
1983,10,20637.8989830413,32615.2593950346,32837.3601865613,32675.2975695288
1983,11,23373.3115684864,41328.2138374156,42033.4055634827,41336.8654034374
1983,12,27244.1735776242,39843.3366335219,40927.1403431055,39866.8578380491
1984,1,29674.1395683469,51084.3604804386,54495.9279169016,51123.4034513313
1984,2,26385.2314032661,45802.8526257972,48130.8085620703,45730.5874751573
1984,3,52461.2226137786,93523.544137704,96789.1809077868,93658.1700473726
1984,4,68737.016745382,124516.22665705,126903.30300071,124565.967496273
1984,5,80239.5362599455,178601.741794673,180094.372101888,178970.030003849
1984,6,72909.573998654,208488.879649666,209879.529490538,208225.081854401
1984,7,33455.6982635971,83369.5894027408,84000.4276367483,83048.6223207214
1984,8,22731.4222060789,39369.774428352,39766.1337778524,39317.7804821639
1984,9,19962.486442008,32968.4226367043,33246.7185281134,32971.0682951505
1984,10,20508.951439115,32824.7351000152,33077.6920879447,32861.2844003609
1984,11,23656.6215951055,38152.0811771388,38769.7955393404,38158.933887765
1984,12,22011.6902218298,33251.4049456482,34311.1552908659,33232.21221472
1985,1,21546.282659389,30864.8513886592,31728.9246373133,30848.4039409122
1985,2,21450.6374362561,30517.3164290049,32430.554010461,30529.227229359
1985,3,24988.7865751684,44367.5727323486,47300.5025644323,44408.8963951053
1985,4,43949.1456709244,107060.738529905,110437.055504902,107119.421847116
1985,5,46271.3603983307,137836.126035058,139335.966779858,137883.178517736
1985,6,30466.8275643562,95581.0531866798,96537.7732329178,95418.6572130827
1985,7,18207.0142758636,34271.7138908028,34811.0348271181,34217.7048251293
1985,8,15179.8978878748,26200.0746501631,26592.3604181204,26174.0131956641
1985,9,21311.5874664511,34855.3878050441,35143.0958838949,34867.3971022357
1985,10,20426.4888885774,33744.9347783286,33981.6182388047,33763.9892087786
1985,11,18082.1836866162,34951.2135582092,35231.7964499516,34945.2237433997
1985,12,17939.5894056918,25555.7140026243,26136.2556629836,25559.4140866691
1986,1,18727.3201654748,31915.494195692,34067.3811924011,31979.1049093589
1986,2,45099.3803567843,85489.5488829997,89551.8789384202,85734.7928293333
1986,3,59770.354234534,119887.774541151,123048.60632011,119855.827052595
1986,4,57953.7784648792,115369.897928095,116866.487627619,115288.477253806
1986,5,58368.7481038015,142759.27222488,143777.653633128,143043.953640107
1986,6,62720.9375741977,149394.819414466,150079.693540261,149008.727813975
1986,7,25854.1874304988,48374.8166695382,48919.1369701249,48296.5021465582
1986,8,19276.2478551728,30158.5489452473,30512.5666841861,30140.2591588818
1986,9,21008.155524942,32535.2488752475,32805.8834734538,32581.3541298313
1986,10,20844.7763747522,32454.1130759889,32636.7717583889,32463.4806871381
1986,11,20503.6838074715,35004.8691768488,35429.6703674143,35012.2236923292
1986,12,18841.4135065796,29983.6341314142,30689.603108817,29953.5449067906
1987,1,17300.8581812437,26787.2990257523,27571.3928467383,26782.5606323972
1987,2,18686.2935780314,32965.9958656685,34837.3631377297,32963.3626984059
1987,3,21442.6125925024,49536.6552823013,51193.7763108396,49546.1075885752
1987,4,24274.5168872669,65517.7297859576,66429.9753962013,65580.5332933028
1987,5,33043.3887932418,89946.3900485381,90673.352395866,89896.7594784755
1987,6,22455.888933393,47374.4344629867,47945.9476969999,47327.2985143632
1987,7,17058.048569373,29217.2680147955,29805.8589414264,29185.0587875595
1987,8,14611.1741332526,22302.4364917922,22712.3943500906,22272.0636476496
1987,9,15658.0058087366,20795.2698227378,21001.676320717,20786.9402141312
1987,10,16552.2501243988,22500.225275057,22591.0305518288,22506.0850204699
1987,11,15283.0496158163,21803.2171158878,21921.2727488042,21805.3219120498
1987,12,15123.6910210677,22572.9390243343,23119.5800333739,22574.9767200227
1988,1,14752.4410527901,22556.2016611814,23641.3779874884,22566.1071260254
1988,2,15428.6652699614,25964.5385891082,27373.4239789796,25978.1332654366
1988,3,16195.9024694621,33704.4066321005,34971.913781282,33718.0590232988
1988,4,24547.9362536265,72383.1674433404,73981.8874563814,72429.4248773494
1988,5,32292.4474699628,96862.5991406359,97658.3421459593,96888.7088653573
1988,6,26879.5435160162,75599.3970985948,76242.1642369172,75555.3483158155
1988,7,12166.6735747922,26398.9517522903,26982.1072520745,26348.0377837748
1988,8,10678.1284447416,17478.5379228885,17866.1615556521,17452.3939893685
1988,9,13217.0856443218,18667.2934003184,18868.7058342693,18666.8620023749
1988,10,14092.4628796054,20484.6819327581,20565.946251125,20492.5899315045
1988,11,15293.4259999842,24777.2228806234,25033.0966236706,24789.8883481704
1988,12,14189.9195069228,22967.0627645039,23594.2184868293,22969.5086522265
1989,1,12684.3319578256,21782.8229717484,22870.5014640049,21781.8589477606
1989,2,14550.8302036174,22739.7084311734,24252.3547243615,22777.7748360073
1989,3,30430.4007048707,67244.8670419067,71700.7194359902,67366.8044580557
1989,4,38168.6068835844,108495.788899654,111216.551070367,108539.566282414
1989,5,37656.7864524651,119364.164704329,120594.978842873,119358.895328442
1989,6,30956.1683863967,101134.480568538,101880.541147072,101051.498447081
1989,7,16492.1135852901,35903.6669490804,36415.7180516878,35804.8363604052
1989,8,13651.8920442151,23489.9317586179,23886.7173261251,23484.2922999542
1989,9,14806.56841198,22916.5814373071,23159.3398950646,22900.6896572154
1989,10,16523.4518525783,24660.9364419016,24802.6222617481,24670.4929720375
1989,11,14733.5261595559,26837.9101999017,26984.9057069727,26840.6712946599
1989,12,13500.1828627905,25691.0308049184,25924.9063733482,25692.0782909595
1990,1,14830.7210455817,28170.5776164528,28869.6924239811,28177.4478061385
1990,2,14052.8828903511,27336.3034432112,28530.3170419986,27355.5823531672
1990,3,17608.7420896129,41713.4394538677,42827.0305904749,41748.1617376867
1990,4,26528.173472782,87945.2493307553,88870.6931558751,88015.8862673946
1990,5,27499.693746832,88675.4611322623,89628.0654630671,88759.7331031942
1990,6,30885.8613401887,102266.006402385,103784.422186792,102129.847732187
1990,7,14859.2495810956,36850.7355692208,37453.0755745114,36766.0741236481
1990,8,12334.7641029831,23402.4024306209,23815.8587240958,23381.8017047329
1990,9,13404.9491927526,19597.3606810756,19821.1236332765,19578.2474702333
1990,10,15948.5904711586,25228.0399603392,25369.0077893802,25251.2676867596
1990,11,14433.4676891581,30193.9408121562,30420.3402195696,30209.2141179872
1990,12,12675.0159378599,22101.9558020694,22366.100834352,22080.4684734916
1991,1,13439.1195352572,26330.1020839007,27620.6049562475,26344.3335155782
1991,2,13838.1732272943,36837.3946028249,37879.3778576781,36888.4071434048
1991,3,13986.7514743322,34879.832143719,36214.2876772494,34859.3094094858
1991,4,16158.225293845,50591.6044039491,51389.8106836981,50637.2810238113
1991,5,29578.2101582969,104018.725614964,104947.832648576,104129.334005924
1991,6,30167.5932029888,106441.713195914,107246.277584653,106417.413826718
