"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "UpSnake" "MdlSnake"
1979-08-05 8 1 5 1979 20075520 7327300 1423400 589210 5067468.94148242 3220223.39900024 8421139.0644602 2746388.57750782 1183000 2577600 4242400
1979-08-12 8 2 12 1979 20075520 7327300 1423400 589210 4975000 3166000 8316000 2411091.65306428 1113876.5703 2577600 4242400
1979-08-19 8 3 19 1979 20075520 7327300 1423400 589210 4975000 3159129.0215 8316000 2238000 1095384.81906286 2577600 4242400
1979-08-26 8 4 26 1979 20075520 7327300 1423400 589210 4975000 3153233.91094286 8316000 2230503.478 1111592.11534429 2577600 4242400
1979-09-02 9 5 2 1979 19849748.4507408 7267521.19695538 1415657.97376713 589210 5019455.16958023 3134010.87304997 8610539.24918863 2215946.91985147 1089639.99985286 2577600 4242400
1979-09-09 9 6 9 1979 19881396.8762949 7190446.31391315 1405189.42547719 591927.995938559 5028327.00636579 3086040.48596302 8486644.13264616 2192548.68929576 1080660.38254572 2577600 4242400
1979-09-16 9 7 16 1979 19890767.0876233 7197041.14589715 1406517.3728628 593535.461787176 4996250.47930761 3035998.58166502 8240581.50771917 2166664.000731 1104244.80411143 2577600 4242400
1979-09-23 9 8 23 1979 19868000.0726371 7174406.9761739 1403811.46730616 578165.41720712 4939115.54697329 2977287.74962406 7946554.47190274 2140828.01271014 1127241.32474572 2577600 4242400
1979-09-30 9 9 30 1979 19742932.1417342 7076357.73879892 1398525.29103268 534992.321949977 4908376.37748648 2910691.82994859 7663294.35616013 2112755.87206551 1161155.26881714 2577600 4242400
1979-10-07 10 10 7 1979 19532477.3483701 6849501.26102397 1390528.03642633 486348.868711226 4871850.2861689 2881732.91362002 7322613.40620343 2081633.71682142 1221829.01932 2577600 4242400
1979-10-14 10 11 14 1979 19318008.6889041 6631420.41172187 1377473.0271594 452244.204825512 4833634.5097615 2856308.54337717 7065696.56302215 2061885.86020934 1204301.63189143 2577600 4242400
1979-10-21 10 12 21 1979 19067017.129124 6404922.86503808 1360125.10158098 426791.443311226 4786461.97547579 2837249.13294859 6876515.16381808 2045340.23435684 1224894.97854286 2577600 4242400
1979-10-28 10 13 28 1979 18821709.7921509 6152303.14023579 1339020.08037036 395267.275754083 4737431.90222492 2811340.79567717 6658049.99721129 2019395.70711335 1259095.13754143 2577600 4242400
1979-11-04 11 14 4 1979 18800124.175253 6106401.3547791 1346799.30531322 353944.759339798 4773506.61976777 2786812.95452002 6509761.05543986 2005649.26664192 1290974.63496857 2577600 4242400
1979-11-11 11 15 11 1979 18238133.8129101 5495814.27 1231738.365 307161.746082655 4761620 2757677.50923431 6401472.49891129 1989330.26372764 1334882.89487428 2577600 4242400
1979-11-18 11 16 18 1979 17956178.96 5495814.27 1231738.365 255602.533625512 4736130 2729632.97323431 6318988.90566843 1970869.11167049 1365993.99547 2577600 4242400
1979-11-25 11 17 25 1979 17956178.96 5495814.27 1231738.365 197234.063754083 4710640 2695995.04780574 6175317.20232557 1945541.18152764 1390235.93781428 2577600 4242400
1979-12-02 12 18 2 1979 17956178.96 5495814.27 1231738.365 750000 3855100 2676255.30667717 5921151.00505108 1952650.94312764 1391436.28926714 2577600 4242400
1979-12-09 12 19 9 1979 17419011.7425857 5296121.54187687 1074389.70645986 766683 3855100 2656309.28452002 5380431.55155108 1950914.42215621 1409959.09009428 2577600 4242400
1979-12-16 12 20 16 1979 16879388.9875429 5042322.78921492 921006.275475349 783365 3855100 2637719.95682002 4977231.42219394 1955725.34037049 1420000 2577600 4242400
1979-12-23 12 21 23 1979 16510621.93 4938259.271 873125.9714 800048 3847890.02771111 2614638.06633431 4566452.32081928 1951976.9151068 1420000 2577600 4242400
1979-12-30 12 22 30 1979 16479584.6985023 4938259.271 873125.9714 801976.347111112 3835249.53550748 2587345.26600574 4121017.94775838 1944250.62493543 1420000 2577600 4242400
1980-01-06 1 23 6 1980 16172005.5289183 4580857.5279525 842144.031440391 779443.255539683 3832400.27882723 2537239.19110671 3921900 1929159.08294102 1170000 2578080 4242400
1980-01-13 1 24 13 1980 15827127.5352813 4176369.31999717 804771.182802331 748220.195565788 3813067.82734572 2476524.92208801 3921900 1939523.32747331 1170000 2578560 4242400
1980-01-20 1 25 20 1980 15523516.5533686 3787889.27265743 738174.525078394 726268 3792447.42032671 2420485.05494728 3921900 1928298.74712744 1170000 2579040 4242400
1980-01-27 1 26 27 1980 15257057.0003294 3410989.7936868 669032.22242208 696114 3768693.37193851 2367359.01979623 3921900 1910107.30028657 1170000 2579520 4242400
1980-02-03 2 27 3 1980 15028370.59 3039874.747 581409.842425518 665960 3713060 2316143.57620293 3921900 1909107.60925227 1070000 2580000 4242400
1980-02-10 2 28 10 1980 14755424.7945933 2455793.5560051 477111.968935695 621063 3708435.38851163 2274489.45263573 3921900 1900782.95843327 1070000 2542500 4205550
1980-02-17 2 29 17 1980 14451574.8402831 2026611.60867268 370448.19839124 576165 3680146.00010329 2243481.32861502 3921900 1940860.29486099 1070000 2505000 4168700
1980-02-24 2 30 24 1980 14166403.3342434 1848797.633 262150 531268 3627670 2217691.99962931 3921900 1987679.15446099 1070000 2467500 4131850
1980-03-02 3 31 2 1980 14001871.8264366 1848797.633 153400 486370 3599210 2196101.67965788 3921900 2042344.62703242 1020000 2430000 4095000
1980-03-09 3 32 9 1980 13842427.9228441 1188498.596 153400 402130 3570250 2173212.18590073 3921900 2083129.76654671 1020000 2400000 4072500
1980-03-16 3 33 16 1980 13691917.574566 1188498.596 153400 317890 3541290 2147057.89817216 3921900 2094700 1020000 2370000 4050000
1980-03-23 3 34 23 1980 13548789.7069449 1188498.596 153400 233650 3512340 2120114.18881502 3921900 2105660 1020000 2340000 4027500
1980-03-30 3 35 30 1980 13408408.9472525 1188498.596 153400 149410 3483380 2092347.33881502 3921900 2116620 1020000 2310000 4005000
1980-04-06 4 36 6 1980 13299830.9327564 1228533.98331429 153400 173308 3480010 2072700.82084359 3921900 2146920 995000 2282500 3976880
1980-04-13 4 37 13 1980 13229736.2309174 1360069.238 153400 197205 3476630 2117077.22711502 3921900 2225069.31281324 995000 2255000 3948750
1980-04-20 4 38 20 1980 13329398.3831581 1537196.36241951 153400 221103 3517091.93255106 2276937.29037216 4931635.80652857 2363844.27844494 995000 2227500 3920630
1980-04-27 4 39 27 1980 13852707.0840438 2447323.14477665 153400 245000 4097199.14393678 2495125.29792931 5790830 2576162.46877927 995000 2200000 3892500
1980-05-04 5 40 4 1980 14441133.1519295 3316991.0769338 294990.157928571 267000 4728412.48015106 2700024.04691502 7090314.26247143 2768055.41213641 1391049.70414286 2275600 3962400
1980-05-11 5 41 11 1980 15050161.5375438 4022608.07070522 414621.303671428 289000 5148524.95222249 2824818.31878645 7550772.25941429 2822199.70043927 1420000 2351200 4032300
1980-05-18 5 42 18 1980 15669624.9663438 4796438.63037665 584571.136085714 311000 5669889.67377963 3018443.01617216 7857229.56770001 2904683.27084464 1420000 2426800 4102200
1980-05-25 5 43 25 1980 16195682.7586295 5373181.55154808 702389.388942857 333000 5830510.08715876 3196023.26501435 8755695.71432107 2954501.42525088 1420000 2502400 4172100
1980-06-01 6 44 1 1980 16751895.2670438 5964863.9795195 753400 355000 5855100 3319550.09864292 9107300 3063643.94060802 1420000 2578000 4242000
1980-06-08 6 45 8 1980 17387000.3515295 6572352.69130522 753400 386250 5855100 3439901.39451435 9107300 3152685.95650802 1420000 2577900 4242100
1980-06-15 6 46 15 1980 18200078.3603581 6972000 753400 417500 5855100 3548599.79574292 9107300 3207469.45389374 1420000 2577800 4242200
1980-06-22 6 47 22 1980 18844862.7854152 7149500 753400 448750 5855100 3623698.19097149 9107300 3231406.00362231 1420000 2577700 4242300
1980-06-29 6 48 29 1980 19370609.1726866 7327000 753400 480000 5602364.4979845 3508872.76847011 8880064.90995925 3237168.00465088 1420000 2577600 4242400
1980-07-06 7 49 6 1980 19386408.0526969 7206387.45638965 847218.248571429 507303 5374080.011575 3349666.80827855 8700903.39478889 3168267.63715656 1420000 2577600 4242400
1980-07-13 7 50 13 1980 19557910.9434264 7184251.12485621 946185.588971429 534605 4992510.21394663 3172554.55782158 8340345.96381861 3025955.68775415 1413173.94755955 2577600 4242400
1980-07-20 7 51 20 1980 19658375.1810997 7047090.558 1053404.17051429 561908 4975000 3166000 8316000 2868950.77425293 1368008.7836322 2577600 4242400
1980-07-27 7 52 27 1980 20075520 7327300 1145320.26998571 589210 4975000 3166000 8316000 2692912.8822965 1249232.61467434 2577600 4242400
1980-08-03 8 1 3 1980 20075520 7327300 1202485.95002857 589210 4975000 3166000 8316000 2487748.48546484 1183000 2577600 4242400
1980-08-10 8 2 10 1980 20075520 7327300 1265022.8707 589210 4975000 3165047.70024286 8316000 2273351.91907848 1147141.96467 2577600 4242400
1980-08-17 8 3 17 1980 20075520 7327300 1317035.49197143 589210 4975000 3166000 8316000 2238000 1120014.77387429 2577600 4242400
1980-08-24 8 4 24 1980 19901595.3591719 7290483.84835557 1354332.73871429 575386.331471429 4975000 3161072.8235 8316000 2227619.98374829 1107311.78400143 2577600 4242400
1980-08-31 8 5 31 1980 19760720.5390418 7241490.38737608 1378554.41242515 578436.054385715 4952332.65291443 3151131.32725127 8166107.97968613 2215811.72885401 1166961.8649 2577600 4242400
1980-09-07 9 6 7 1980 19815369.8994722 7187400.22983689 1403957.10535124 563025.608714287 4946915.52454253 3122226.21004899 8020310.16594005 2186502.09177632 1233228.40979 2577600 4242400
1980-09-14 9 7 14 1980 19793520.2982546 7171597.44438001 1402559.09971337 584249.022622666 4961857.26630588 3087658.61217802 7835784.51760499 2161953.99556337 1288990.0933 2577600 4242400
1980-09-21 9 8 21 1980 19724063.0633505 7167312.093541 1402064.01296151 595466.164893183 4984129.8304192 3067883.43324557 7669660.62828058 2144566.26628059 1358234.82054 2577600 4242400
1980-09-28 9 9 28 1980 19750776.4083917 7159498.80954597 1400362.00320323 640000 4997921.87355625 3036915.01648779 7582817.01382455 2122252.90967204 1413663.87589143 2577600 4242400
1980-10-05 10 10 5 1980 19621139.4771506 6999584.12344957 1393009.97391559 646399.880003232 4987740.98693306 3032937.92280207 7449379.88906679 2096671.20012691 1420000 2577600 4242400
1980-10-12 10 11 12 1980 19404084.1444724 6830532.54544334 1380166.85289276 643249.271231803 4955545.97622156 3025475.86981636 7210010.23570751 2072492.55365631 1420000 2577600 4242400
1980-10-19 10 12 19 1980 19167276.501009 6630737.6282239 1365059.9614081 631920.809760374 4913017.44049195 3013620.42761636 6962002.12857784 2044399.07888394 1420000 2577600 4242400
1980-10-26 10 13 26 1980 18934181.9637492 6390759.24321589 1347115.23131742 605488.213360374 4855582.36790467 2998490.27408779 6696580.79758964 2016657.5066407 1420000 2577600 4242400
1980-11-02 11 14 2 1980 19007821.7176111 6532715.68511984 1365836.80254706 611741.242631803 4923669.52113871 3002516.48761636 6561412.51931821 2016462.14296927 1420000 2577600 4242400
1980-11-09 11 15 9 1980 18515461.1197683 5680320.99703452 1254611.25160933 637158.572846088 4797356.7080866 3021569.91415921 6590486.12616107 2012547.77036927 1420000 2577600 4242400
1980-11-16 11 16 16 1980 17981046.9606968 5495814.27 1231738.365 635215.89817466 4736130 3033264.22823064 6543151.91316107 2004067.4465407 1420000 2577600 4242400
1980-11-23 11 17 23 1980 17956178.96 5495814.27 1231738.365 653353.888246088 4710640 3035314.90421636 6519923.51231821 1993048.27928356 1420000 2577600 4242400
1980-11-30 11 18 30 1980 17956178.96 5495814.27 1231738.365 686776.509146088 4685160 3030231.0334735 6539509.64184679 1997710.4371407 1420000 2577600 4242400
1980-12-07 12 19 7 1980 17391479.1756857 5311599.195633 1093519.67456727 766683 3855100 3025153.11314493 6811145.6663643 1989071.43559784 1420000 2577600 4242400
1980-12-14 12 20 14 1980 16854014.4375571 5087339.17250676 949078.218645499 783365 3855100 3027856.35123064 6348356.10487859 1980130.94639784 1420000 2577600 4242400
1980-12-21 12 21 21 1980 16510621.93 4938259.271 873125.9714 800048 3850469.45491488 3092523.67021636 6415669.67524906 2135760 1420000 2577600 4242400
1980-12-28 12 22 28 1980 16510621.93 4938259.271 873125.9714 816730 3844109.18016673 3164262.06484493 7602662.31979069 2132680 1420000 2577600 4242400
1981-01-04 1 23 4 1981 16343636.729744 4761780.96838707 864268.130779582 786576 2810484.9345096 3119397.12843493 8699363.70178086 2180273.83852854 1170000 2578080 4242400
1981-01-11 1 24 11 1981 16215463.2572262 4609412.31841815 832554.818923837 756422 2815100 3071397.36055184 8513220.02770912 2195394.73742519 1170000 2578560 4242400
1981-01-18 1 25 18 1981 16111933.7527051 4484134.55241234 756277.71817792 726268 2815100 3024795.27993083 8312167.82697736 2212014.30146736 1170000 2579040 4242400
1981-01-25 1 26 25 1981 15992612.4372298 4346574.41651282 675400 696114 2815100 2966616.42536541 8196185.88827745 2224078.37396013 1170000 2579520 4242400
1981-02-01 2 27 1 1981 15869485.592908 4216211.66035834 588400 665960 2095100 2901874.73778201 8576439.58618048 2221716.14062572 1245000 2580000 4242400
1981-02-08 2 28 8 1981 15703256.0363302 3931563.5308494 479650 621063 2095100 2835167.35937207 8241366.0736002 2223556.54753219 1245000 2542500 4205550
1981-02-15 2 29 15 1981 15556587.8630376 3735251.03304332 370900 576165 2095100 2804646.75678364 8457444.24964343 2354941.04319314 1245000 2505000 4168700
1981-02-22 2 30 22 1981 15429065.7981974 3575370.87558081 262150 531268 2095100 2764853.8847486 8568993.98836241 2394539.79445992 1245000 2467500 4131850
1981-03-01 3 31 1 1981 15452464.3597651 3656097.4317447 153400 486370 1855100 2767631.20106312 8075680 2314332.43472498 1183000 2430000 4095000
1981-03-08 3 32 8 1981 15125568.9476881 3080242.4378462 153400 402130 1855100 2655989.59920662 7908200.6224 2204631.73627139 1183000 2400000 4072500
1981-03-15 3 33 15 1981 14804031.1801767 2593358.59244322 153400 317890 1855100 2560584.03506808 7784524.22782857 2196172.81573465 1183000 2370000 4050000
1981-03-22 3 34 22 1981 14480144.3263051 2166406.64376616 153400 233650 1855100 2463154.23667602 7686636.92877143 2191689.90422681 1183000 2340000 4027500
1981-03-29 3 35 29 1981 14162557.8930361 1817508.35132313 153400 149410 1855100 2373546.05847187 7695188.22351428 2186593.64653692 1183000 2310000 4005000
1981-04-05 4 36 5 1981 14187172.2899932 1909677.30166598 153400 173308 1855100 2395665.9318433 5790830 2238000 1183000 2282500 3976880
1981-04-12 4 37 12 1981 13719344.7480853 1571435.45719247 153400 197205 1855100 2417805.63992901 5545966.91342857 2197363.44330517 1183000 2255000 3948750
1981-04-19 4 38 19 1981 13472828.7715383 1469492.689661 153400 221103 1855100 2517433.62631473 5634794.12611429 2238000 1183000 2227500 3920630
1981-04-26 4 39 26 1981 13669394.2735811 1845861.36017529 153400 245000 1855100 2716227.2502433 5790830 2294203.26578799 1232024.28438344 2200000 3892500
1981-05-03 5 40 3 1981 13877497.628924 2226811.84968958 202760.719971429 267000 2146677.57308571 2844734.58062901 6046327.96034286 2284471.1276758 1223786.54856706 2275600 3962400
1981-05-10 5 41 10 1981 14152400.3350383 2702828.14130386 262627.8881 289000 2413687.86905714 2934383.72225758 5709727.96371429 2238000 1183000 2351200 4032300
1981-05-17 5 42 17 1981 14745035.3292954 3607169.13750386 393761.184657143 311000 2896831.09618571 3154380.65575758 5914841.78282857 2238000 1183000 2426800 4102200
1981-05-24 5 43 24 1981 15597572.518724 4729249.67671815 568096.4724 333000 3745266.28937143 3429034.1279433 7385910.20817143 2380433.09981429 1092070.41057 2502400 4172100
1981-05-31 5 44 31 1981 16378865.3979097 5747045.23863243 710333.242014286 355000 4397704.75334286 3612038.17973872 8072216.17932857 2476460.90208571 1075059.04921571 2578000 4242000
1981-06-07 6 45 7 1981 16896517.2382811 6412719.08477529 753400 386250 4882639.05517143 3605398.22287597 9038860.31967101 2598232.18002857 1146946.75213429 2577900 4242100
1981-06-14 6 46 14 1981 17354871.216824 6972000 753400 417500 5357707.57011428 3647000 9107300 2743424.2886 1294281.74125286 2577800 4242200
1981-06-21 6 47 21 1981 17756148.8215383 7149500 753400 448750 5777435.24872857 3647000 9107300 2866385.6494 1420000 2577700 4242300
1981-06-28 6 48 28 1981 18364362.0003954 7327000 753400 480000 5855100 3647000 9107300 2898502.15867192 1420000 2577600 4242400
1981-07-05 7 49 5 1981 18970304.2479489 7301489.21771035 926039.419671429 507303 5844622.20715872 3647000 9098415.75279524 2843277.19567363 1420000 2577600 4242400
1981-07-12 7 50 12 1981 19336656.2685683 7228179.93476539 1078953.21598571 534605 5774660.51632853 3647000 9039067.93313373 2707522.89015093 1356226.21203698 2577600 4242400
