"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "ExtraSpace" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy"
1979-08-05 8 1 5 1979 0 0 0 0 0 0 0 0 18667.6475660852 0 0 NA NA 3551950.45507
1979-08-12 8 2 12 1979 0 0 0 0 0 0 0 0 13185.7688090565 0 0 NA NA 3438081.17759496
1979-08-19 8 3 19 1979 0 788676.295676007 0 0 0 81539.8792114484 0 0 43931.0294338985 0 1766086.53533417 NA NA 2037886.22832399
1979-08-26 8 4 26 1979 0 764732.926658458 0 0 0 77284.6161789873 0 0 42008.186959314 0 2217822.46607315 NA NA 2020148.46134154
1979-09-02 9 5 2 1979 0 791691.736137248 0 149.427118283769 0 81477.9920281459 0 0 50506.9091618707 0 2568224.95701555 NA NA 1993189.65186275
1979-09-09 9 6 9 1979 0 724323.717802955 0 0 0 0 0 0 55637.9686837048 0 2991646.00883301 NA NA 2004350.93419704
1979-09-16 9 7 16 1979 0 754669.967373093 41.8073400498365 0 0 0 1.11435194820206 0 59289.5576538452 0 3397553.72286496 NA NA 1974004.68462691
1979-09-23 9 8 23 1979 2750.7433207198 987991.02 611.257779089829 0 5646.43487166253 0 0 0 62220.6841435644 0 3788215.50348339 NA NA 1736192.20504728
1979-09-30 9 9 30 1979 176969.135545221 987991.02 0 0 20892.7823365835 0 0 0 60828.0307241484 0 4253695.35217494 NA NA 1561973.81282278
1979-10-07 10 10 7 1979 175501.422884981 1124594.28 2375.40363516412 0 19588.7257004506 0 0 0 66645.7918652033 0 4344396.7678517 NA NA 1450420.14799502
1979-10-14 10 11 14 1979 186950.383438239 1124594.28 2356.77354871956 0 16805.1328051168 0 0 0 71999.440597043 0 4427415.98315509 NA NA 1438971.18744176
1979-10-21 10 12 21 1979 198021.254921404 1124594.28 1654.68053262602 0 23860.8529692928 0 0 0 65339.8347735858 0 4543765.81244105 NA NA 1427900.3159586
1979-10-28 10 13 28 1979 0 1006632.75333777 1099.58889370981 0 11092.2367038346 0 0 0 43052.6200103236 0 4570771.27513845 NA NA 1745510.64666223
1979-11-04 11 14 4 1979 0 862023.493371207 1602.11827963737 0 0 0 0 0 45966.3896459315 0 4539340.86612388 NA NA 1967422.52662879
1979-11-11 11 15 11 1979 51845.6240037507 1201896.9 2056.56275734332 0 0 0 0 0 72932.7588529309 0 4654966.92180929 NA NA 1909174.41697225
1979-11-18 11 16 18 1979 31962.984565893 1105533.36 0 0 0 0 0 0 75317.328050533 0 5175295.24851016 NA NA 1929057.05641011
1979-11-25 11 17 25 1979 116326.080205122 1105533.36 0 0 0 0 0 0 72772.6097598711 0 5727078.3786125 NA NA 1844693.96077088
1979-12-02 12 18 2 1979 162751.78531837 997521.48 0 0 2135.69950825477 0 0 0 68701.0080425705 0 6251236.34119754 NA NA 1798268.25565763
1979-12-09 12 19 9 1979 0 914288.877240221 0 0 0 0 0 0 73164.06541298 0 6183811.62169921 NA NA 2369740.63475978
1979-12-16 12 20 16 1979 0 659702.836689625 0 0 0 0 0 0 66713.4189937792 0 6636048.86269358 NA NA 2624326.67531037
1979-12-23 12 21 23 1979 0 779896.83431275 0 0 0 0 0 0 68874.9000453707 0 7129079.93022063 NA NA 2504132.67768725
1979-12-30 12 22 30 1979 0 802137.224930894 0 0 0 0 0 0 69236.6741460352 0 7543193.39188273 NA NA 2481892.28706911
1980-01-06 1 23 6 1980 0 390464.787477795 0 0 0 0 0 0 67434.9642740327 0 8203756.21302438 NA NA 2895288.98452221
1980-01-13 1 24 13 1980 318786.896732674 1009169.82 0 0 0 0 11.8393183221458 0 76170.156417147 0 9570707.92573604 NA NA 1955520.47131533
1980-01-20 1 25 20 1980 89979.1962230294 1009169.82 0 0 0 0 11.8393183221458 0 69883.6513944517 0 9731348.10182662 NA NA 2184328.17182497
