"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1979-08-05 8 1 5 1979 321312.1491535 50402.027217534 579091.617377325 188537.765925453 3160836.17590126 327686.901044623 334106.335119947 470250.996037042 320732.855556051 11313.0765857146 -9999 289899.674493551 3071493.65433051 30340.2893195343 13063.1181734811 181847.573158211 10603.3193958618 1484446.37470835 471336.377749249 1127813.73472199 5387.13230726084 2990268.7974056 4084.2825152907 81797.3602106121 1169613.94675458 1171458.96629504 1175546.90527631 6280.47224387721 3012615.83463412 209178.98401067 200449.581504482 240020.974634119 319607.734146798 21338.6549826076 470250.996037042 57845.6713193148 8759.92941625163 67995.0920137645 2025277.88647821 551218.677930735 -1133.28031063216 2008542.9623179 1994214.75255778 332723.22002875 1993764.03723811 1969973.51328761
1979-08-12 8 2 12 1979 306784.279396014 106356.569994761 419663.713727492 276635.418615058 3148792.17080999 310784.415220365 318680.641879021 467715.406889681 302276.231409743 9016.45292526784 1901821.89702508 355667.36686781 3051445.10658292 32876.9848178807 11393.7804112168 193576.269125999 7855.18616974391 1277039.19176575 466283.342746016 1203923.04300882 6688.80073632013 2980158.34062725 5309.44337162328 75193.6402101944 1241943.10352675 1245400.52418636 1244568.36103352 4748.6803292064 3002850.73554158 244991.608121088 208688.941029062 230255.875541586 303986.179421889 29843.6443233826 467715.406889681 66750.5606140453 7739.84373388375 65014.6510343868 1959800.92620904 418307.788513035 -63.62596011726 1944981.21041629 1930715.33593127 313652.534633294 1930286.10157824 1902863.5099103
1979-08-19 8 3 19 1979 182808.976447834 164678.592976195 345501.832469308 176342.884279641 1740715.3323078 185642.896383263 193960.126255571 686589.542824434 181454.893220477 9528.48457986448 934072.175787141 275335.417407689 1667562.05782598 36418.2251164415 14360.210684292 73604.0174887826 7300.10360410481 736307.46564613 704917.435146922 777061.99354564 9042.90354209558 1606639.10934481 6610.19308408524 74108.9829074958 855411.899163692 881329.229290925 840389.876133253 8439.45099991555 1640503.36815514 234151.98137612 218377.159511379 200795.693949801 183490.36828316 54549.2042137398 714187.542824434 55564.3947951058 12923.0764883262 62104.1128898537 983509.317580741 336856.712890274 423.298900738149 971491.090506841 962059.826135255 193731.392134722 954139.71578367 945671.511785574
1979-08-26 8 4 26 1979 202080.130227126 123478.545714527 331815.015599672 176408.173813972 1880712.74877703 203776.960158345 213087.702252221 543742.365669961 205722.315366229 8731.97594199711 930254.990216643 228270.680498349 1782278.07368289 38975.733880397 17022.1668879497 93905.7140456673 7526.87686964141 729863.606095638 550542.221441874 803758.353894276 5914.71730105848 1702945.83228134 4267.63310178789 74697.3047651702 815952.862838462 807172.661212536 838984.176792595 6217.7214413978 1699724.56907547 233542.685199218 198677.085325752 188288.607475579 208782.161958809 32218.0431198413 543742.365669961 46278.0921825253 8775.8343294795 66595.2460154 999918.711835602 262199.754434127 122.872292951956 991591.896382765 984551.308297023 220874.139137777 970877.781217142 970865.063377192
1979-09-02 9 5 2 1979 211752.264818086 99497.6830179374 273321.490569291 176414.983055911 1798756.34157588 216510.226912203 221581.322444547 494401.139178335 200654.718025818 7848.59159500528 966899.789161537 256576.436486426 1739067.88491386 40746.9041451753 13150.2686335603 74925.4322170684 7724.9525193181 769800.817889838 499029.877691168 685763.794578419 5392.77495403486 1657397.32466685 3839.3271884988 71563.9661937372 712082.609050737 712459.964067257 720408.419856353 5861.07513294501 1641367.88022578 199857.634001701 169734.602079359 166464.223190252 198392.156297807 21868.6480881224 494401.139178335 36534.4829759155 8020.89108343103 75386.9107963402 1047190.5018605 262865.325185732 -263.787781989363 1029250.74281179 1019843.99582909 208734.845420149 1016661.17838549 999547.187558018
1979-09-09 9 6 9 1979 185214.703091655 86659.6205793876 408824.919921306 169362.126351852 1653007.25720138 245939.938424902 244170.190473157 496571.14037829 169024.475739567 7518.20549368046 1028800.51272705 355567.682129831 1697291.36154146 46518.5473006476 7130.71393452755 61186.5627208176 5674.41429283191 1116994.34580474 533494.703546303 614525.19038918 4851.9586530249 1623464.41401181 3061.76912529574 61510.3676885265 635110.946250438 633112.005246748 647382.948005034 5921.25194819046 1610907.71213588 153922.605481618 151596.184026751 157087.559584706 160373.903410385 2926.67106220486 518103.422742445 30026.8654370778 6920.21425686373 87110.7585560051 1075026.98786314 307995.077933846 -118.59421422712 1082371.41622202 1079698.68276801 174155.463393043 1050386.20122128 1083974.2301759
1979-09-16 9 7 16 1979 160167.793593587 83787.5191338307 482024.350429656 153821.255881127 1724183.20346916 221027.091182289 219284.706805178 448065.033826791 145965.744235522 5615.05289374858 989107.543244882 309337.617229607 1766254.1505208 38430.9018797371 5628.60053474823 55187.4001867792 4269.46742580259 1045999.16671397 509380.283038778 563827.259445544 4718.29892370188 1698740.20302295 2834.78581003096 51041.1499104061 589890.583114561 590852.608204114 594367.036757811 5239.50633157798 1649643.45787962 163190.179643805 131618.639052826 139866.697043282 139306.215544855 1465.71344662513 497195.316190946 33201.1251809222 7748.44295515594 70222.6886599621 1083185.67458662 326160.440454119 -891.964045327151 1053585.29665935 1040370.24877356 152509.087744162 1046537.20603316 1009502.86552585
1979-09-23 9 8 23 1979 133427.861721997 82703.4738169035 290628.447254375 143426.796400601 1594339.01051963 194239.328217078 192513.198830622 419956.861116164 119987.295688054 4975.33207079378 786986.762861731 279639.784005029 1621986.61225492 13435.1223265722 4706.77017867943 47302.6553320155 3134.33109293252 848096.097766764 479395.697774553 523132.085487581 4665.3102974451 1550386.79683339 2815.57183060138 41485.75105514 550650.371235154 551981.354759973 553448.929566592 4741.37872681757 1464682.97663479 116849.070442818 124064.939635236 124818.922582772 114006.313985201 1988.43474681282 469087.143480318 31286.647704897 6474.16282996891 60651.7465835581 892375.559977411 299774.400377057 -203.056337130046 851848.513799248 835614.954741185 126113.557529534 859770.808388798 791654.33816054
1979-09-30 9 9 30 1979 179093.956961888 91775.256340259 267748.488218471 57622.7699045921 1252704.25402388 239330.019280669 237949.759746432 468622.674627647 167861.892280863 4535.54869673005 646677.319208419 172570.769255952 1279684.998583 24658.5753499848 4613.33223407849 88763.4783760801 2587.36873405986 731383.077673166 525389.53332531 542467.407032069 5183.26912240838 1224804.40893244 3145.87117078371 40590.3603623954 576915.807448913 583515.968814915 574025.157335224 6210.59418370356 1179261.95533442 130347.362180386 134194.047586839 127730.267368542 162387.067576839 2979.90394483912 517752.956991802 33649.482153917 8471.90313448375 58700.0539123118 680548.707508138 277796.878235834 140.332373461039 672622.592393071 667344.354255732 174317.248810876 664779.372549642 644713.296669321
1979-10-07 10 10 7 1979 125843.541911728 70535.6146986247 330039.351913009 55449.1869269057 1203166.59926526 244651.703164394 237620.927263549 386874.952499327 100990.916445843 3373.43719434844 684717.060175185 140876.86252531 1220845.00928164 15971.6012373424 6562.35021561005 19087.904923744 2180.56722809431 759766.756134616 413865.335379543 461694.774901891 4053.88185751877 1125471.33269713 2373.68380290618 37390.9054933554 493381.766714251 490471.568510116 495717.150379602 4899.67571616268 1092319.90175103 66324.9620676268 125799.065545895 118890.903615357 96948.9869587483 760.36763183575 406852.854281311 25710.855974481 7031.89847369647 50452.0128821974 698690.372092309 269218.852596296 72.986163584665 694670.622984063 694368.715501942 105713.740839479 680465.269833003 691008.351212294
