"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1979-08-05 8 1 5 1979 45494058.6660078 NA 0 3326857.09364047 668150.984990855 0 697752.405737319
1979-08-12 8 2 12 1979 11121031.2378778 NA 0 3226118.23213341 411994.002151956 0 441595.422898421
1979-08-19 8 3 19 1979 1875967.60624962 NA 184159.325945176 1739127.37805482 0 904180 0
1979-08-26 8 4 26 1979 1552264.52547223 NA 45408.1591405482 1836197.40885945 0 904180 16281.1222924162
1979-09-02 9 5 2 1979 1740163.91223819 NA 95121.1292206114 1786484.43877939 0 904180 60680.3358582365
1979-09-09 9 6 9 1979 1517655.38875568 NA 377482.854721836 1363200.77727816 52063.673457484 988980 254191.189836624
1979-09-16 9 7 16 1979 1483300.12689454 NA 531913.210515181 1208770.42148482 72111.663203731 988980 364652.710491087
1979-09-23 9 8 23 1979 1110157.9726379 NA 574339.8766087 1166343.7553913 21926.8237912086 988980 308323.1503308
1979-09-30 9 9 30 1979 883711.120887786 NA 653542.95204184 1087140.67995816 0 988980 365541.459205484
1979-10-07 10 10 7 1979 863342.400252264 NA 652570.534867186 974978.585132814 0 1125720 389662.110970822
1979-10-14 10 11 14 1979 772331.764719337 NA 675633.222630078 951915.897369922 0 1125720 346852.297528447
1979-10-21 10 12 21 1979 760836.478219195 NA 618190.071517782 1009359.04848222 0 1125720 380225.384698351
1979-10-28 10 13 28 1979 818531.790606761 NA 358426.686660258 1269122.43333974 64567.517910227 1125720 431738.359382615
1979-11-04 11 14 4 1979 955314.123680835 NA 308371.764798359 1319177.35520164 94580.5050073361 1203100 455733.679817946
1979-11-11 11 15 11 1979 1093785.35947052 NA 363540.306797982 1599442.71720202 0 1203100 199759.112969736
1979-11-18 11 16 18 1979 1253661.70289069 NA 766146.835873113 1196836.18812689 1490.23419032928 1106640 327710.477498713
1979-11-25 11 17 25 1979 1085777.95985539 NA 891834.716657784 1071148.30734222 0 1106640 243867.029223376
1979-12-02 12 18 2 1979 860107.638442601 NA 830327.851376079 1132655.17262392 0 998520 230197.752439048
1979-12-09 12 19 9 1979 1053985.31574958 NA 314901.611810609 1971606.42018939 177939.539298619 998520 418080.457215292
1979-12-16 12 20 16 1979 1307935.22859452 NA 384422.607065977 1902085.42493402 258369.674077566 998520 566544.935376272
1979-12-23 12 21 23 1979 1476158.0984578 NA 439798.763569783 1846709.26843022 120371.341762584 998520 402640.498054134
1979-12-30 12 22 30 1979 1569737.73210685 NA 589169.387693188 1697338.64430681 75376.2383924111 998520 458797.556873875
1980-01-06 1 23 6 1980 2315257.15135274 NA 926717.121590529 1349866.83040947 539272.545264901 1010180 1400976.44732614
1980-01-13 1 24 13 1980 1534121.54739606 NA 1357334.71896227 919249.233037728 274.212731131448 1010180 375055.173216186
1980-01-20 1 25 20 1980 1684678.73307259 NA 777336.902696611 1499247.04930339 134.477162747409 1010180 445094.017487721
1980-01-27 1 26 27 1980 1837222.12909049 NA 766686.325574841 1509897.62642516 0 1010180 456842.74050437
1980-02-03 2 27 3 1980 2004412.85152456 NA 860272.025309395 1416311.92669061 0 1022900 512307.096330919
1980-02-10 2 28 10 1980 1643045.05161759 NA 829660.605864424 1288138.06613558 0 1092860 577176.382428734
1980-02-17 2 29 17 1980 1553427.37391735 NA 1134956.39702398 982842.274976023 0 1022900 502569.968079097
1980-02-24 2 30 24 1980 1223833.97398961 NA 907115.225356067 1210683.44664393 11656.6788951771 1022900 358805.151065658
1980-03-02 3 31 2 1980 1184032.81811575 NA 512729.784265616 1605068.88773438 42589.3214473976 1022900 388274.47470365
1980-03-09 3 32 9 1980 831947.45529831 NA 123054.743573108 1738702.66442689 40947.9275043552 1092860 369610.246652255
1980-03-16 3 33 16 1980 694023.177536295 NA 339322.040729691 1522435.36727031 13530.908413836 1092860 266647.369997374
1980-03-23 3 34 23 1980 535500.888344803 NA 447591.532046204 1414165.8759538 7641.74204127177 1115120 279128.429100953
1980-03-30 3 35 30 1980 492208.303277894 NA 520190.066829527 1341567.34117047 5402.65547795644 1115120 312113.095764363
1980-04-06 4 36 6 1980 691440.88493647 NA 547852.452717132 1169013.38728287 0 1190380 130987.856514386
1980-04-13 4 37 13 1980 796612.456864403 NA 487069.537313528 1229796.30268647 0 1190380 78056.5476167981
1980-04-20 4 38 20 1980 1319378.15611878 NA 300360.961204769 1597123.13479523 0 1190380 1891.94372933387
1980-04-27 4 39 27 1980 3300183.2940321 NA 16448.7867611761 1881035.30923882 0 1190380 518046.327282192
1980-05-04 5 40 4 1980 6755363.55443406 NA 0 3408457.1582712 3759196.48181287 0 4687641.42949307
1980-05-11 5 41 11 1980 7352788.67140099 NA 0 3753495.96395265 3742533.46743531 0 4570538.22461523
1980-05-18 5 42 18 1980 7064178.95732731 NA 0 4114521.65963862 3256639.67942266 0 3999194.8296134
1980-05-25 5 43 25 1980 6474337.84176381 NA 0 3319499.10593393 1490084.07273688 31236.2220660718 2179903.60872678
1980-06-01 6 44 1 1980 17252129.4013302 NA 8425.81633599149 2091509.51166401 0 1250800 806721.094471074
1980-06-08 6 45 8 1980 5880741.77450483 NA 0 3164501.17665098 136318.95468901 0 775118.113737687
1980-06-15 6 46 15 1980 12313862.1180103 NA 0 2839651.3844125 0 310110.967587497 368819.199158756
1980-06-22 6 47 22 1980 6240537.31166448 NA 0 2604542.9938028 0 545219.358197205 184437.796569007
1980-06-29 6 48 29 1980 2892792.71591766 NA 0 2152276.10742079 0 997486.244579207 0
1980-07-06 7 49 6 1980 12188041.7583227 NA 0 2303454.50004032 0 649710.059959682 0
1980-07-13 7 50 13 1980 4157583.73362952 NA 120213.256358576 1934071.30364142 0 898880 0
1980-07-20 7 51 20 1980 2714593.14552556 NA 0 2148632.2697799 0 804532.290220102 0
1980-07-27 7 52 27 1980 1484590.97391438 NA 390364.722524323 1663919.83747568 0 898880 0
1980-08-03 8 1 3 1980 825638.935465556 NA 340103.451500096 1583183.2524999 0 904180 0
1980-08-10 8 2 10 1980 394371.255532848 NA 663083.606808357 1260203.09719164 0 904180 0
1980-08-17 8 3 17 1980 0 NA 606993.673208831 1316293.03079117 0 904180 0
