"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 1668069.18086328 0 809348 0 0 0 136914.072781923 0 0 0 NA NA 111270.441408282 0 0 1e+10 234395.161402923 1101067.93496942
1979-08-12 8 2 12 1979 1276899.57989259 0 404674 0 0 0 157692.756723861 0 0 0 NA NA 68611.0479152147 0 0 1e+10 241624.671348095 1134517.16261774
1979-08-19 8 3 19 1979 1280245.27671455 0 0 0 0 27598 201085.726957297 0 0 0 NA NA 2.79396772384644e-09 0 0 1e+10 489958.988874633 611952.94372837
1979-08-26 8 4 26 1979 1265229.77795199 0 5738 0 0 27598 140813.478088152 0 0 0 NA NA 1.86264514923096e-09 0 0 1e+10 359618.898194382 692359.773747411
1979-09-02 9 5 2 1979 1355965.20240489 0 14618 0 0 27598 159870.127344175 0 0 0 NA NA 9.31322574615479e-10 0 0 1e+10 332102.055988083 701305.367542811
1979-09-09 9 6 9 1979 1687593.37143484 0 101593 0 0 0 185582.913463759 0 805.184282576624 0 NA NA 0 0 0 1e+10 343648.720793585 694410.544388956
1979-09-16 9 7 16 1979 1724711.07186732 0 163311 0 0 0 187109.812794469 0 2216.65168581424 0 NA NA 0 0 0 1e+10 312363.47678351 484281.581962313
1979-09-23 9 8 23 1979 1589899.66855342 0 107574.257619562 0 0 0 193700.958682122 0 4696.77642578349 0 NA NA 0 0 0 1e+10 299303.078533392 345117.171165722
1979-09-30 9 9 30 1979 1390208.7868382 0 142125.670103284 0 0 0 208405.684782423 0 8094.26316896104 0 NA NA 9.31322574615479e-10 0 0 1e+10 345057.547259104 246866.849672978
1979-10-07 10 10 7 1979 1416007.50643844 0 166029.128460449 0 0 0 72405.518901768 0 0 0 NA NA 0 0 0 1e+10 272149.18888397 244852.446443802
1979-10-14 10 11 14 1979 1376282.96413085 0 113625.644763548 0 0 0 71743.982053026 0 0 0 NA NA 0 0 0 1e+10 198711.04296725 276652.56692678
1979-10-21 10 12 21 1979 1315345.67985853 0 137278.184285667 0 0 0 77581.945002255 0 0 0 NA NA 0 0 0 1e+10 323364.721786383 242491.385436611
1979-10-28 10 13 28 1979 1243297.72536631 0 148280.219445403 0 0 0 64069.6495040191 0 0 0 NA NA 0 0 0 1e+10 549047.157156208 299106.062906216
1979-11-04 11 14 4 1979 1280505.91168318 0 190697.778470981 803474.617593492 26088.1608774886 0 67795.819604293 0 0 0 NA NA 0 0 0 1e+10 425207.045819561 442602.160877489
1979-11-11 11 15 11 1979 2031781.17657678 0 121559.800797306 642358.800797306 0 0 74922.61964353 0 0 0 NA NA 0 0 0 1e+10 296843.20393808 338262.008049475
1979-11-18 11 16 18 1979 2102745.7716485 0 24461.7093841662 210265.409725975 0 0 73309.284705521 0 0 0 NA NA 0 0 0 1e+10 264280.94352246 235140.923420247
1979-11-25 11 17 25 1979 1992046.0487904 0 24647.5710227708 67500.6687313085 0 0 74951.582889527 0 0 0 NA NA 0 0 0 1e+10 260812.084267901 241012.769252989
1979-12-02 12 18 2 1979 1841966.41535095 0 23634.9376801015 70936.1341694761 0 0 71118.884347311 0 0 0 NA NA 0 0 0 1e+10 366702.901835526 236069.112576233
1979-12-09 12 19 9 1979 3174935.28660607 0 338375.105348538 2097395.96786379 0 0 64193.700466302 0 1429.79268505255 0 NA NA 0 0 0 1e+10 340605.097890794 316025.587162452
1979-12-16 12 20 16 1979 3328636.759858 0 286309.47057243 1406423.41728881 0 0 55417.2630471 0 6947.04719163116 0 NA NA 0 0 0 1e+10 315655.159285344 451731.444386829
1979-12-23 12 21 23 1979 2979685.92589831 0 99852.9160757693 890928.299599005 0 0 61589.647430585 0 15187.6676532925 0 NA NA 0 0 0 1e+10 286146.284473182 506076.613962355
1979-12-30 12 22 30 1979 2662137.17709536 0 173928.832631735 581413.614478232 87949.7516638674 0 60377.808010395 0 8781.90750945374 0 NA NA 0 0 0 1e+10 304880.047132501 666266.809641028
1980-01-06 1 23 6 1980 2583598.2500025 0 1375621.54391973 0 411757.078354742 0 74281.605942033 0 28589.0417973504 350582.767061132 NA NA 0 0 0 1e+10 198932.340347852 300233.200782614
1980-01-13 1 24 13 1980 2182201.91684543 0 9440.99999999988 0 0 0 78129.033211872 0 674.470632650148 0 NA NA 0 0 0 1e+10 186010.702397806 282678.233011235
1980-01-20 1 25 20 1980 2468360.75619604 0 505645.513315452 505645.513315452 0 0 89056.086731666 0 77.2807621532937 0 NA NA 0 0 0 1e+10 389640.712428152 377224.313545194
1980-01-27 1 26 27 1980 2442098.65739378 0 505017.367054706 505017.367054706 0 0 67479.134187222 0 0 0 NA NA 4.65661287307739e-10 0 0 1e+10 293721.499261851 372173.021483146
1980-02-03 2 27 3 1980 2523899.68087712 0 508584.751002532 508584.751002532 0 0 70703.838589776 0 0 0 NA NA 0 0 0 1e+10 209388.465826788 345040.581806266
1980-02-10 2 28 10 1980 2324141.4302777 0 372891.076659556 372891.076659556 344449.403045313 0 63764.331668842 0 0 0 NA NA 0 0 0 1e+10 180700.211993559 455211.403045313
