"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1950-08-06 8 1 6 1950 290133.249532806 94983.5044260469 681788.588577311 205976.365808154 3183135.10453257 292624.774282968 301044.579158931 446744.844221093 293060.858922554 15027.4116285364 -9999 330030.666127722 3163034.69825389 35808.0053067514 11453.2816094882 147521.049881857 6793.33197184919 1500318.80356575 444816.618228962 1056654.39613053 5306.80415498065 3095186.25591869 5565.4552924773 98319.1057744401 1121220.41977537 1124471.40126764 1127255.45088588 4873.19232035781 3040967.95568 237351.974164463 232980.662688344 268373.095680002 281391.376139136 29890.6641465294 446744.844221093 70197.655161207 7958.71946827899 72142.5795223728 2102037.74615681 634745.755451123 -106.4262942165 2073376.02677497 2050656.06694506 287552.916275481 2056082.75694022 2022809.43371324
1950-08-13 8 2 13 1950 318979.136623808 132324.989591474 462147.468295172 321056.039299744 3226098.45399715 315584.038118615 328753.325574935 517311.351667297 341784.42783267 13385.8073042933 1875988.98636543 425464.449332031 3233561.47787942 66515.2997977053 15783.0255892205 203949.382943949 10204.6072961442 1246661.21294268 515857.128283968 1262549.82246257 6085.514860549 3168015.40907751 6184.19372759821 118744.891358117 1333143.52206707 1339323.31674924 1337212.57681875 4993.42959075883 3115316.38543686 256382.698495406 245773.914142887 277820.576715285 331687.682317836 30242.6617227239 517311.351667297 62260.7954713143 8643.88344059155 72954.121812128 1962335.57348977 395697.271148702 -725.772522716442 1939359.65955344 1922521.1301891 342057.910138931 1919781.29602968 1896548.27779525
1950-08-20 8 3 20 1950 221064.679905469 73478.9653408088 498462.882496155 215720.222982353 1725073.90162127 226402.136186412 234894.550703018 400386.048882108 212793.474747236 12781.192714427 1239199.30670838 333820.180468303 1759895.1971903 57501.3357612138 11112.2821821966 77346.2577023363 6185.75435391723 1002441.04320846 431168.109926003 602228.975461987 4707.29983406189 1718788.33672741 4619.88471655933 101900.528656507 653933.152391145 652784.314044029 665625.304187408 5145.99318196006 1710547.2885758 256929.245214046 182909.4740448 208699.514391373 197105.987289682 27589.4956896444 427984.048882108 63236.9957939689 7553.41617799469 62397.4015536553 1297246.39903507 371205.124829256 -1150.15445383842 1284059.35114339 1273474.06313834 198299.640458318 1252428.86740651 1266410.45940355
1950-08-27 8 4 27 1950 157174.98606788 75097.7524357787 407453.114635225 183788.072079973 1780892.75526672 159036.553749984 166691.992117045 341463.444305421 160725.143401712 11591.9790747361 1018229.88684367 302183.662799331 1758790.89841044 37910.2259043601 9107.62580515137 59136.3135809541 5062.1972878199 798069.890442825 340126.88462117 480485.877147816 4573.18204435333 1697631.96021792 4229.74597226918 77771.6851353718 532079.675296637 533738.518841376 539545.544970217 4088.58567827264 1595879.46522444 224611.749749588 155023.00556599 172074.390282314 150732.93437773 25480.4503896037 341463.444305421 65924.6603913899 7290.48353701268 50689.3049136882 1146891.89947965 363991.971121695 -584.743683142798 1097570.0938438 1078615.44576711 155091.963052576 1096714.42384711 1043715.15622995
1950-09-03 9 5 3 1950 137860.812283404 84182.3418714308 459006.13297678 176043.91201434 1626756.57865573 138831.159408863 143519.972645006 368402.690823831 134844.12573017 9007.62668314212 1077003.38431166 331380.849406393 1656151.66145507 29841.194311365 6762.00418599932 51032.9431085881 4164.18786734456 877632.296805749 373878.880115453 484173.834031714 4822.54894029236 1604611.95359708 3914.56218553913 73215.7413409422 529203.55904511 531089.709543602 534101.27361013 3444.4590457834 1554517.38786305 179049.714846864 156660.281695853 157950.674264283 125891.457739192 13938.1636352362 368402.690823831 50215.077732761 7705.60125233043 46215.0548836804 1139517.3998265 421527.535135119 60.089923586777 1121445.28168488 1109915.38187605 131087.780025033 1107723.10778157 1093284.4933858
1950-09-10 9 6 10 1950 150054.431527486 90220.9862086516 408515.554637511 166479.002049737 1526419.87872833 208398.674151023 208954.426542521 423165.047030944 137720.619742389 6424.00241618304 969127.731505688 345785.091023818 1571399.00566172 22489.9989271587 4252.59704740168 41232.7684288246 3598.69891443322 1029594.13347697 450097.726808401 466624.987202176 4531.29673128531 1506284.2711125 3723.01234711381 65722.8428094879 505914.123455401 507438.416390919 508085.489497935 4798.26192198781 1455566.91837688 127946.935603641 148838.751158485 149364.250044039 130188.699790844 1803.39772508534 434222.258906938 35445.5613678081 8608.62042790228 59474.3840776237 1029015.80750702 384170.685385007 -371.92658312826 1011355.83436667 1000383.1727188 136701.875192924 1001156.73957789 981213.42172455
1950-09-17 9 7 17 1950 156615.899331002 151312.217969262 331890.512232753 161145.597633358 1529138.9397666 213895.598864781 215258.875525981 674607.278021547 145405.523039341 6057.09039877638 787230.144783498 271729.623404071 1603566.36028456 26098.4419064998 6285.39810095204 47399.1585305585 4874.30588554269 856228.20495351 727105.970759321 684419.153324612 5373.67383941148 1531986.60313855 5462.71376316117 60033.7458144687 759995.963539814 775298.500972663 749987.16934664 8892.82500367355 1487326.49415257 124580.227362886 189343.201748963 166745.976852136 137089.400929714 6399.31264302937 713262.489897541 52477.7246462694 14532.5631324231 86293.5230409442 846451.684073451 290737.906353892 950.498395408053 830881.270888968 823401.605976486 144243.930365462 819479.636458473 801917.652793393
1950-09-24 9 8 24 1950 188727.348544448 94260.4636569699 301776.388134574 161046.462089992 1590611.42438194 247141.157164119 247718.069853078 483333.928346613 175707.323842886 5947.06126605949 816800.928399051 256339.752733322 1637548.88455421 21931.6711522285 4334.01972374668 94150.2536301913 3583.75237089454 871354.116534869 545232.067681585 606667.379811327 4268.8798046329 1554944.54076732 3754.51712116133 60286.3979468203 625898.797683946 616335.342111625 643756.916449107 4961.43242631518 1474670.31688485 119456.79735472 138720.647356779 142412.281079718 167791.100059518 2087.06640327083 521989.140222607 38200.0115132214 7770.94150760909 65570.0555219423 895499.774091537 257890.547988249 183.619080944512 877383.089200536 867513.898131762 173872.124870433 866818.614073646 839027.492118973
1950-10-01 10 9 1 1950 182718.047021372 96825.5772902158 299495.886654207 56252.4846028179 1257208.07373553 241625.417702325 242148.226806517 397758.34082606 170831.250045922 5230.39093056404 663313.257638928 154323.135190792 1284139.72851606 23716.3826124852 4139.82914542138 94915.7381062004 2991.27643584754 729897.644045915 449559.465555203 476150.107223364 4425.72329136504 1214997.48710527 3668.87321309812 54781.6672106912 506434.810829506 507109.969028894 510594.007596513 4656.62844482626 1155717.14855485 112875.165881302 133120.478348477 129966.545337865 164851.951356256 1495.90616918601 436413.552702054 39490.2120872962 5820.30839703586 53225.2910225359 720819.374129763 242758.317835277 -392.919743986218 707941.697172984 701857.834435758 171636.091802174 697261.08429355 678560.985123882
1950-10-08 10 10 8 1950 126315.99649951 80065.3941099365 273694.264756675 53152.4442817457 1183710.75045988 240000.271636086 240417.3792764 381009.96994293 109882.667908667 3268.0050347995 628194.946908012 128000.013783978 1167253.3746892 11583.7596399045 6611.10601016974 11979.4909958264 2392.64956413064 701055.806801789 406108.302505735 467090.389755158 3844.58474369946 1088893.75173016 2885.96290678472 48788.4842747839 491970.865121903 488699.732630303 492909.885505252 4777.14186289961 1063477.72772723 63996.8577202185 140539.234339223 125558.26643057 109444.040642762 3621.21790702847 395403.99188532 32740.4465276537 7553.30527453544 60147.3021246157 676653.33878877 253310.07882716 599.759522458307 662959.35136085 656006.587542558 120787.004787428 657681.931479825 638281.083616342
