"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1950-08-06 8 1 6 1950 290133.249532806 289894.604482701 771679.147180097 205976.365808154 3183135.10453257 292624.774282968 301044.579158931 446744.844221093 293060.858922554 22110.4116285364 2001716.15810551 553430.666127722 3163034.69825389 68734.9076677121 583064.281609488 147521.049881857 98947.3319718493 1918796.80356575 444816.618228962 1056654.39613053 9613.02943268079 3095186.25591869 32637.6159821346 197286.10577444 1121220.41977537 1124471.40126764 1127255.45088588 64782.2548579769 3040967.95568 459728.520688169 232980.662688344 268373.095680002 281391.376139136 52966.5744767745 446744.844221093 114818.945897925 54698.719468279 72142.5795223728 2102037.74615681 634745.755451123 3094.45858732534 2073376.02677497 2050656.06694506 287552.916275481 2056082.75694022 2022809.43371324
1950-08-13 8 2 13 1950 318979.136623808 297047.180237626 462147.468295172 321056.039299744 3226098.45399715 315584.038118615 328753.325574935 517311.351667297 341784.42783267 27552.8073042934 1875988.98636543 604184.449332031 3233561.47787942 66515.2997977054 701716.025589221 203949.382943949 120789.607296144 1804631.21294267 515857.128283968 1262549.82246257 8536.40604589547 3168015.40907751 21592.3332752813 316677.891358117 1333143.52206707 1339323.31674924 1337212.57681875 41677.1020431941 3115316.38543686 256382.698495407 245773.914142887 277820.576715285 331687.682317836 42283.2087787758 517311.351667297 87657.0348904956 55383.8834405915 72954.121812128 1962335.57348977 395697.271148702 1096.01338850962 1939359.65955344 1922521.1301891 342057.910138931 1919781.29602968 1896548.27779525
1950-08-20 8 3 20 1950 221064.679905469 232494.521507357 498462.882496155 215720.222982353 1725073.90162127 226402.136186412 234894.550703018 427984.048882108 212793.474747236 19864.1927144269 1239199.30670838 289140.180468303 1759895.1971903 57501.3357612139 125435.282182197 77346.2577023362 24615.7543539172 1141934.04320846 431168.109926003 602228.975461987 9546.41055688562 1718788.33672741 35042.162845328 200867.528656507 653933.152391145 652784.314044029 665625.304187408 38773.9986463273 1710547.2885758 256929.245214045 182909.4740448 208699.514391373 197105.987289682 47151.8302635613 427984.048882108 113380.068333269 22738.4218279248 62397.4015536553 1297246.39903507 371205.124829256 2446.83254844541 1284059.35114339 1273474.06313834 198299.640458318 1252428.86740651 1266410.45940355
1950-08-27 8 4 27 1950 157174.98606788 190237.565590024 413191.114635224 183788.072079973 1780892.75526672 159036.553749984 166691.992117045 341463.444305421 160725.143401712 18674.9790747361 1018229.88684367 260306.696553493 1758790.89841044 78785.7572975284 123429.625805151 59136.3135809542 23493.1972878198 937561.890442824 340126.88462117 480485.877147816 10178.9965486056 1697631.96021792 39472.0989075484 176738.685135372 532079.675296637 533738.518841376 539545.544970217 38432.9197307834 1595879.46522444 289083.589412872 155023.00556599 172074.390282314 150732.93437773 42879.6507126643 341463.444305421 124012.350347068 26177.5023171348 50689.3049136882 1146891.89947965 363991.971121695 3582.14628155786 1097570.0938438 1078615.44576711 155091.963052576 1096714.42384711 1043715.15622995
1950-09-03 9 5 3 1950 137860.812283404 163495.760262455 464745.132976779 176043.91201434 1626756.57865573 138831.159408863 143519.972645006 368402.690823831 134844.12573017 16091.626683142 1077003.38431166 317130.34426055 1656151.66145507 117598.043750384 121084.004185999 51032.943108588 22595.1878673444 1017125.29680575 373878.880115453 484173.834031714 7859.24854160548 1604611.95359708 23005.5326460706 172181.741340942 529203.55904511 531089.709543602 534101.27361013 39702.8028509771 1554517.38786305 348287.457066917 156660.281695853 157950.674264283 125891.457739192 25472.2129838131 368402.690823831 81681.4890447663 21233.7601625589 48593.3 1139517.3998265 421527.535135119 2317.31643097902 1121445.28168488 1109915.38187605 131087.780025033 1107723.10778157 1093284.4933858
1950-09-10 9 6 10 1950 207928.431527487 153821.570095975 484432.55463751 166479.002049737 1526419.87872833 208398.674151023 208954.426542521 434222.258906938 137720.619742389 13507.002416183 969127.731505688 347160.562415499 1571399.00566172 142240.101007667 56338.5970474016 44428.16 22029.6989144334 921111.133476976 450097.726808401 466624.987202176 5705.73349913652 1506284.2711125 11106.4024042384 164689.842809488 505914.123455401 507438.416390919 508085.489497935 26774.5464589771 1455566.91837688 301846.768802889 148838.751158485 149364.250044039 130188.699790844 6071.40768183924 434222.258906938 47615.1254501982 16087.8110987203 57096.1389613041 1029015.80750702 384170.685385007 501.050711861177 1011355.83436667 1000383.1727188 136701.875192924 1001156.73957789 981213.42172455
1950-09-17 9 7 17 1950 214490.899331002 166652.844829742 407807.512232753 161145.597633358 1529138.9397666 213895.598864781 215258.875525981 713262.489897541 145405.523039341 22424.0903987763 787230.144783498 245300.623404071 1603566.36028456 77786.8392635918 58450.3981009522 44428.16 23304.3058855426 747745.204953508 727105.970759321 684419.153324612 5586.86701268226 1531986.60313855 6803.00589200378 159000.745814469 759995.963539814 775298.500972663 749987.16934664 18074.4683390431 1487326.49415257 218877.188908657 189343.201748963 166745.976852136 137089.400929714 9342.82835128289 713262.489897541 54686.8414374559 21571.4536163865 86293.5230409442 846451.684073451 290737.906353892 1108.96822946533 830881.270888968 823401.605976486 144243.930365462 819479.636458473 801917.652793393
1950-09-24 9 8 24 1950 246601.348544448 149672.943733392 377694.388134575 161046.462089992 1590611.42438194 247141.157164119 247718.069853078 521989.140222607 175707.323842886 22313.0612660595 816800.928399051 229909.752733322 1637548.88455421 61897.9741859486 56500.0197237465 93925.8605895746 71024.7523708946 762871.11653487 545232.067681585 606667.379811327 5520.04267713376 1554944.54076732 11620.2649975396 159252.397946821 625898.797683946 616335.342111625 643756.916449107 33222.1761473913 1474670.31688485 194918.615005153 138720.647356779 142412.281079718 167791.100059518 15788.4118253936 521989.140222607 51164.6147776991 23214.3316419155 65870.0555219423 895499.774091537 257890.547988249 1113.62809456336 877383.089200536 867513.898131762 173872.124870433 866818.614073646 839027.492118973
1950-10-01 10 9 1 1950 240593.047021372 136785.105762294 375412.886654207 56252.4846028179 1257208.07373553 241625.417702325 242148.226806517 436413.552702054 170831.250045922 21597.3909305641 663313.257638928 136666.848343096 1284139.72851606 68636.2283430958 56304.8291454213 94915.7381062002 78085.2764358476 621414.644045915 449559.465555203 476150.107223364 6028.17700049365 1214997.48710527 13743.0986689564 55535.2 506434.810829506 507109.969028894 510594.007596513 24916.9633284205 1155717.14855485 187168.727576095 133120.478348477 129966.545337865 164851.951356256 8979.64367265555 436413.552702054 56094.9060445402 15625.6507993852 53525.2910225359 720819.374129763 242758.317835277 798.209265794671 707941.697172984 701857.834435758 171636.091802174 697261.08429355 678560.985123882
1950-10-08 10 10 8 1950 235525.99649951 126206.322488023 348352.264756675 53152.4442817457 1183710.75045988 240000.271636086 240417.3792764 395403.99188532 109882.667908667 13661.0050347995 628194.946908012 124898.394837473 1167253.3746892 56867.7748374734 18048.94 44428.16 5553.52 592571.806801789 406108.302505735 467090.389755158 5782.26299872413 1088893.75173016 15067.661192876 55535.2 491970.865121903 488699.732630303 492909.885505252 16764.2827430871 1063477.72772723 224758.093136751 140539.234339223 125558.26643057 109444.040642762 5412.63156057502 395403.99188532 52818.7515850818 11824.4599288518 60447.3021246158 676653.33878877 253310.07882716 2040.06620216675 662959.35136085 656006.587542558 120787.004787428 657681.931479825 638281.083616342
