"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
1950-08-06 8 1 6 1950 41624386.0301856 NA 0 3336341.05961666 725784.558340453 0 755385.979086917
1950-08-13 8 2 13 1950 3709031.67929217 NA 0 3226339.36491414 632777.333563267 0 662378.754309731
1950-08-20 8 3 20 1950 1998070.00098585 NA 0 2036629.56933642 0 790837.134663579 0
1950-08-27 8 4 27 1950 2526603.84336894 NA 217868.700076331 1663736.86792367 0 904180 16281.1222924162
1950-09-03 9 5 3 1950 1404075.98489967 NA 398747.794998515 1482857.77300148 0 904180 60679.7186447856
1950-09-10 9 6 10 1950 1243260.53016092 NA 632811.337036646 1107872.29496335 13344.1371398311 988980 240636.91354616
1950-09-17 9 7 17 1950 968445.547247039 NA 478923.222111632 1261760.40988837 47837.7725371666 988980 364652.710491087
1950-09-24 9 8 24 1950 888468.67263749 NA 533537.437847808 1207146.19415219 58884.7881368372 988980 481009.795947909
1950-10-01 10 9 1 1950 717615.34011357 NA 683244.229839323 1057439.40216068 0 988980 457356.658169134
1950-10-08 10 10 8 1950 677019.945723542 NA 644814.006163671 982735.113836329 0 1125720 347015.263799144
1950-10-15 10 11 15 1950 797438.980217768 NA 639495.208388564 988053.911611437 0 1125720 423709.914820812
1950-10-22 10 12 22 1950 838611.445449663 NA 582244.898824159 1045304.22117584 13814.4411649418 1125720 424632.557955398
1950-10-29 10 13 29 1950 850164.148036245 NA 615525.150550886 1012023.96944911 2085.61121560805 1125720 396575.977366155
1950-11-05 11 14 5 1950 814496.743569174 NA 572074.032009412 1055475.08799059 8417.466620541 1203100 397230.020195066
1950-11-12 11 15 12 1950 940251.873292313 NA 328171.099558078 1634811.92444192 0 1203100 178779.64997279
1950-11-19 11 16 19 1950 1208259.11584954 NA 626152.287548001 1336830.736452 23692.9848495282 1106640 445660.65383636
1950-11-26 11 17 26 1950 1093546.66243825 NA 571404.574211418 1391578.44978858 8879.01781575734 1106640 269358.493316082
1950-12-03 12 18 3 1950 1069363.03193835 NA 688114.54239013 1274868.48160987 0 998520 261849.312882461
1950-12-10 12 19 10 1950 1425371.59348449 NA 375502.633521285 1911005.39847871 290575.666307692 998520 569645.682567681
1950-12-17 12 20 17 1950 1384883.21029891 NA 324039.834352752 1962468.19764725 249592.752202362 998520 505431.925729997
1950-12-24 12 21 24 1950 1494089.54002752 NA 511713.846010528 1774794.18598947 67231.4959812459 998520 315944.109733756
1950-12-31 12 22 31 1950 1457817.75835345 NA 978636.439097342 1307871.59290266 0 998520 348437.186062543
1951-01-07 1 23 7 1951 2097828.88973352 NA 791564.779559979 1485019.17244002 999466.052119142 1010180 1880912.09732257
1951-01-14 1 24 14 1951 1238236.13457752 NA 1300521.43734478 976062.514655219 18314.9990465254 1010180 437989.675271401
1951-01-21 1 25 21 1951 1384228.23786443 NA 711163.955084185 1565419.99691582 0 1010180 298780.813020135
1951-01-28 1 26 28 1951 1560328.84929673 NA 609532.851949903 1667051.1000501 0 1010180 328031.246705456
1951-02-04 2 27 4 1951 1790744.77645426 NA 650555.414870537 1626028.53712946 0 1022900 406783.686813127
1951-02-11 2 28 11 1951 1633414.57249077 NA 607589.36368036 1510209.30831964 0 1092860 545321.919800844
1951-02-18 2 29 18 1951 1633536.79647631 NA 1120533.64110139 997265.030898612 0 1022900 553639.745606574
1951-02-25 2 30 25 1951 1267812.38348885 NA 1073068.00728772 1044730.66471228 4236.40802231918 1022900 347164.652830757
1951-03-04 3 31 4 1951 1015982.29824637 NA 989222.912855528 1128575.75914447 6330.57930732196 1022900 291931.306765696
1951-03-11 3 32 11 1951 377098.52707147 NA 675363.954136939 1186393.45386306 0 1092860 268240.151586155
1951-03-18 3 33 18 1951 284889.741370726 NA 608757.38734084 1253000.02065916 0 1092860 281795.273202996
1951-03-25 3 34 25 1951 293256.972993811 NA 929504.620959306 932252.787040694 0 1115120 281077.800707557
1951-04-01 4 35 1 1951 377118.192417237 NA 1031136.50689901 830620.901100988 0 1115120 295392.383813985
1951-04-08 4 36 8 1951 721277.579825842 NA 844396.002004864 872469.837995136 121.122448539588 1190380 149582.491928909
1951-04-15 4 37 15 1951 813266.970792944 NA 540883.276293234 1175982.56370677 0 1190380 184022.843349718
1951-04-22 4 38 22 1951 1359197.40721446 NA 47107.929981401 1850376.1660186 0 1190380 159799.976411341
1951-04-29 4 39 29 1951 2056400.01720948 NA 181012.734461719 1716471.36153828 0 1190380 160551.679356887
1951-05-06 5 40 6 1951 1838081.1356307 NA 672689.567956811 1427245.76004319 0 1250800 315936.291432861
1951-05-13 5 41 13 1951 1152452.47892843 NA 847073.962054972 1252861.36594503 0 1250800 260506.874116627
1951-05-20 5 42 20 1951 2699757.83332679 NA 0 3139553.02435412 1134482.45693702 211182.303645884 1684907.63843978
1951-05-27 5 43 27 1951 3071554.33092822 NA 0 2811469.76732656 234744.967762203 539265.560673445 1188695.05918221
1951-06-03 6 44 3 1951 4610674.62795901 NA 0 2886771.52259249 0 463963.805407512 1155490.94964681
1951-06-10 6 45 10 1951 5875105.70219597 NA 0 3322584.56923515 550888.49831166 0 1281869.15554349
1951-06-17 6 46 17 1951 5133358.73923466 NA 0 3943433.05441533 140139.238468853 0 871491.073308611
1951-06-24 6 47 24 1951 3637913.68649272 NA 0 3167285.55950185 70347.9179363875 0 402614.007280272
1951-07-01 7 48 1 1951 20295815.0744381 NA 0 2247493.83944526 0 902268.512554736 0
1951-07-08 7 49 8 1951 4176342.65487798 NA 0 3299392.72000365 219953.303674619 0 219953.303674619
1951-07-15 7 50 15 1951 4231229.16203137 NA 0 3134189.67206409 126663.299727536 0 126663.299727536
1951-07-22 7 51 22 1951 4985130.39460424 NA 0 2532463.07907885 0 420701.480921152 0
1951-07-29 7 52 29 1951 3431640.39761868 NA 209395.191129301 1844889.3688707 0 898880 0
1951-08-05 8 1 5 1951 8768379.63993969 NA 0 2137750.87781932 0 689715.826180683 0
1951-08-12 8 2 12 1951 5069127.45418986 NA 457358.102819663 1465928.60118034 0 904180 0
1951-08-19 8 3 19 1951 413923.167127929 NA 739620.232479989 1183666.47152001 0 904180 0
1951-08-26 8 4 26 1951 32064.0433064284 NA 720636.322760046 1160969.24523995 0 904180 16281.1222924162
1951-09-02 9 5 2 1951 79393.1341622145 NA 755725.436106697 1125880.1318933 0 904180 60673.6783738696
1951-09-09 9 6 9 1951 259618.37442964 NA 755008.51318045 985675.11881955 0 988980 240621.115909798
1951-09-16 9 7 16 1951 496394.302048086 NA 765779.694854933 974903.937145067 0 988980 335535.443143601
1951-09-23 9 8 23 1951 541909.873067346 NA 777727.84655903 962955.78544097 0 988980 407619.134333978
1951-09-30 9 9 30 1951 565126.245072747 NA 815266.87617763 925416.75582237 0 988980 393709.726916335
1951-10-07 10 10 7 1951 606423.001171752 NA 802067.654728623 825481.465271377 0 1125720 269531.779203457
1951-10-14 10 11 14 1951 655758.291989489 NA 825557.668032861 801991.451967139 0 1125720 309551.501577153
1951-10-21 10 12 21 1951 670672.685544745 NA 765695.446084723 861853.673915277 0 1125720 282853.574699778
1951-10-28 10 13 28 1951 685718.37858423 NA 794220.185959372 833328.934040628 0 1125720 294394.304990478
1951-11-04 11 14 4 1951 639279.170447112 NA 766166.862537608 861382.257462392 0 1203100 297732.167381288
