"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1950-08-06 8 1 6 1950 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1676000 850000 1401000 135205 100500 1672590 95180 1011000 847192 1120000 558270
1950-08-13 8 2 13 1950 20075000 7327300 1424900 638280 5671467 2960915 8549430 2782067 1420000 1792000 1540000 1661833 834591.860452317 1375603.76058082 132754.108814654 98678.2140887739 1507867.80935385 95180 974316.327547565 800452 1107959.45294395 558270
1950-08-20 8 3 20 1950 20075000 7327300 1424900 682960 5572500 2942485 8409937 2667744 1392402 1792000 1540000 1654750 804169.582323548 1325460.68804152 127914.99809183 95081.2270864901 1348852.2531873 95180 940688.322083198 785266.99435007 1088397.11837003 558270
1950-08-27 8 4 27 1950 20010528.1603367 7321562 1384024.46860683 724836.966245839 5473533 2924054 8270445 2553422 1392402 1792000 1540000 1647667 768927.229388269 1267372.99808584 122309.183587578 90914.3371217894 1233712.44003305 95180 906343.988030687 766379.975569948 1070997.91804697 558270
1950-09-03 9 5 3 1950 19841290.4181167 7315823 1296267.61916781 739087.471391681 5374567 2905623 8130952 2439100 1392402 1792000 1540000 1640583 749836.258927738 1235906.58677384 119272.483986264 88657.1106143972 1154399.02164203 95180 870085.644225493 752851.816659719 1059463.86869839 555891.75488368
1950-09-10 9 6 10 1950 19667390.5849174 7239906 1176517.5170873 737712 5275600 2887192 8239435 2387014 1381344.78812401 1788804.60842882 1482126 1633500 742452.868870613 1223737.02269145 118098.047218413 87784.1333194078 1090798.43775471 95180 848109.359688504 745372.625988901 1055195.85874164 558270
1950-09-17 9 7 17 1950 19573093.6233716 7163989 1124829.11973021 764141 5176633 2868762 8347918 2334849 1342689.57624801 1791775.60695938 1424251 1617133 741112.57674177 1221527.90590026 117884.854045142 87625.6634853505 1075457.81089423 95180 838927.716353134 738333.735504938 1052252.34303339 558270
1950-09-24 9 8 24 1950 19497631.8057212 7088071 1084862.81669649 790571 5077667 2801321 8456401 2282683 1304034.36437202 1792000 1366377 1600767 733246.828865392 1208563.30263578 116633.691172642 86695.6544717316 1020045.33081781 95180 810666.972632058 722890.345370632 1038550.99761126 557970
1950-10-01 10 9 1 1950 19423338.2440264 7012154 1039942.97096588 808227.286847697 5076913.46721069 2726227 8564884 2230518 1265379.15249602 1792000 1308502 1584400 723172.603409534 1191958.60867854 115031.237463513 85504.5254619507 980085.802345727 95180 790406.637748464 713085.002968282 1031067.26010779 557670
1950-10-08 10 10 8 1950 19262577.0086099 6937496 994658.955768312 811328.905794201 5070166.75148548 2723066.12956413 8673368 2219080.16601017 1250985.13055363 1759551.33099583 1199292 1574007 710990.905123443 1171880.30362111 113093.559208488 84064.2187822423 933944.873967641 95180 778419.496868277 708813.848313966 1029275.84645425 557370
1950-10-15 10 11 15 1950 19113553.7514377 6862838 973470.781084059 817000 5075534.06394627 2720430.51222083 8781851 2212142.411356 1236591.10861124 1732275.59784403 1090082 1563613 699829.22184185 1153483.22329463 111318.12934015 82744.5138765952 899730.305241179 95180 772008.702246817 707235.19971983 1028820.0807319 557070
1950-10-22 10 12 22 1950 18959041.3248617 6788181 951820.942274263 817000 5073655.15598078 2717349.35002125 8890334 2201940.625929 1222197.08666885 1702906.08410148 980873 1553220 691002.389478833 1138934.52665864 109914.091846454 81700.8707560267 868289.472003073 95180 768164.576567711 704316.275430698 1028503.33233634 553304.57417912
1950-10-29 10 13 29 1950 18787383.4830657 6713523 922086.299080071 817000 5071481.91567649 2714131.23468875 8943846 2190801.66279932 1207803.06472646 1674901.61356292 871663 1542827 687436.198446397 1133056.60473341 109346.836718759 81279.2211104269 851511.538687482 95180 766937.476888036 701681.038843232 1028373.10518559 547402.738976719
1950-11-05 11 14 5 1950 18609277.9125173 6638865 890103.39633627 817000 5065879.53127164 2711610.3325424 8943846 2179299.16634572 1193409.04278407 1649692.63724536 762453 1532433 687436.198446397 1133056.60473341 109346.836718759 81279.2211104269 851511.538687482 95180 711000 700702.920649122 1028373.10518559 536530.219536651
1950-11-12 11 15 12 1950 18433738.6274942 6e+06 874608.913925588 817000 5066737.94745744 2711956 8904440 2187431.09656922 1218308.41243606 1634643.58468326 756962.496910694 1522040 691444.087720722 1151769.82574407 115368.520015402 59960 920518.955389506 95180 711000 709632.040106683 1029161.08552052 553244.161513399
