"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "ExtraSpace" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy"
2006-08-06 8 1 6 2006 0 0 0 0 0 0 0 0 13849.9533583362 0 0 NA NA 3461045.86634635
2006-08-13 8 2 13 2006 0 0 0 0 0 0 0 0 10872.4172337311 0 0 NA NA 3333717.60331216
2006-08-20 8 3 20 2006 0 761146.34889408 0 4648.41240787796 0 70241.621240747 0 0 52638.9750693216 0 1507414 NA NA 2065416.17510592
2006-08-27 8 4 27 2006 0 760719.417140615 0 9194.10343019877 0 69324.0396641726 0 0 56864.5370815594 0 1898284.81912441 NA NA 2024161.97085938
2006-09-03 9 5 3 2006 0 0 0 0 0 48023.9249719588 0 0 42885.0591096612 0 2241786 NA NA 2924128.34454677
2006-09-10 9 6 10 2006 0 202857.944790082 653.951882252454 0 0 0 0 0 57206.8092636828 0 2599771 NA NA 2525816.70720992
2006-09-17 9 7 17 2006 0 782013.015865895 497.149130605 0 1100.6999956659 0 0 0 59011.6383328362 0 2944352.67808127 NA NA 1946661.6361341
2006-09-24 9 8 24 2006 0 821921.733339413 0 0 54.2355842523684 0 0 0 63252.6957066085 0 3434369.53791773 NA NA 1906752.91866059
2006-10-01 10 9 1 2006 49459.2241615637 987991.02 0 0 13466.5949322795 0 0 0 63191.1264727991 0 3979545.16854162 NA NA 1689483.72420644
2006-10-08 10 10 8 2006 88532.0087930863 1124594.28 2214.11386849153 0 18248.9808444997 0 0 0 64622.3180791405 0 4172536.21303715 NA NA 1537389.56208691
2006-10-15 10 11 15 2006 0 1037741.91810123 1873.73423315001 0 620.889630855338 0 0 0 64372.8025677747 0 4239744.28934395 NA NA 1714401.48189877
2006-10-22 10 12 22 2006 0 991777.05457878 1452.26237576543 0 0 0 0 0 63672.5751639059 0 4292201.7881443 NA NA 1760366.34542122
2006-10-29 10 13 29 2006 0 902858.068271411 1787.52641508639 0 0 0 0 0 59792.187014126 0 4292507.52967057 NA NA 1849285.33172859
2006-11-05 11 14 5 2006 0 860842.645546413 971.312517315776 0 0 0 0 0 52890.2898169529 0 4387956.00706016 NA NA 1968603.37445359
2006-11-12 11 15 12 2006 0 1063083.43241326 1062.34347750801 0 0 0 0 0 78353.3410814189 0 4524812.02533986 NA NA 2101796.49158674
2006-11-19 11 16 19 2006 0 1030870.17175747 0 0 0 0 0 0 71802.6247765948 0 5113873.16365737 NA NA 2037646.21224253
2006-11-26 11 17 26 2006 0 1081413.41659609 0 0 0 0 0 0 77314.9772213282 0 5422636.18673734 NA NA 1987102.96740391
2006-12-03 12 18 3 2006 0 943848.540345797 0 0 0 0 0 0 72859.6077809273 0 5896060.41211708 NA NA 2016655.9636542
2006-12-10 12 19 10 2006 0 491431.683945292 0 0 0 0 0 0 58938.3923242741 0 5622694.33825816 NA NA 2792597.82805471
2006-12-17 12 20 17 2006 0 637527.910689722 0 0 0 0 0 0 42248.8306707086 0 5675706.86436962 NA NA 2646501.60131028
2006-12-24 12 21 24 2006 0 588139.026373934 0 0 0 0 0 0 35839.8965986373 0 5258504.93746274 NA NA 2695890.48562607
2006-12-31 12 22 31 2006 0 697376.348025956 0 0 0 0 0 0 54530.0196055826 0 5079413.4119266 NA NA 2586653.16397404
2007-01-07 1 23 7 2007 0 0 0 0 0 0 0 0 49414.3785612225 0 5003172.9357084 NA NA 3430590.8814441
2007-01-14 1 24 14 2007 0 0 0 0 0 0 1.10647972653464 0 45791.3549869154 0 5577470.74142189 NA NA 3628346.82039519
2007-01-21 1 25 21 2007 0 0 0 0 0 0 7.67455402258838 0 18819.9726549898 0 6362931.79492747 NA NA 3781569.97151047
2007-01-28 1 26 28 2007 0 0 0 0 0 0 10.3644013235844 0 26634.2386162736 0 6738034.81582821 NA NA 3680346.66118584
2007-02-04 2 27 4 2007 0 465877.899135193 0 0 0 0 11.8393183221456 0 49138.5050317113 0 7213750.68420495 NA NA 2832583.15286481
2007-02-11 2 28 11 2007 0 0 209.48074394167 0 0 0 11.8393183221456 0 53342.8113077059 0 6296339.81968016 NA NA 3491053.69153627
2007-02-18 2 29 18 2007 0 448950.909574507 236.575962628893 0 0 0 16.9818019471313 0 36562.3915417667 0 6329417.3194501 NA NA 2690724.86242549
2007-02-25 2 30 25 2007 0 316138.605036312 264.350426762362 0 0 0 22.1003196441279 0 35605.7796448384 0 5236364.85125721 NA NA 2823537.16696369
2007-03-04 3 31 4 2007 0 0 0 0 0 0 27.6131307362839 0 10824.7049320603 0 4420583.92423427 NA NA 3431025.85439102
2007-03-11 3 32 11 2007 0 0 1469.74638250216 0 0 0 33.3301546436078 0 0 0 4070911.92264412 NA NA 3183178.13163689
2007-03-18 3 33 18 2007 0 0 1171.540695452 0 0 0 30.7581832672915 0 14020.5128310533 0 2748268.532971 NA NA 3257872.92114574
2007-03-25 3 34 25 2007 0 0 645.746813598447 0 0 0 34.2712873031785 0 0 0 2125588.02808421 NA NA 3368325.88361881
2007-04-01 4 35 1 2007 0 0 66.2313047955099 0 0 0 39.2033631984646 0 0 0 1323610.92270149 NA NA 3574776.06640429
2007-04-08 4 36 8 2007 0 0 0 0 0 0 41.639467707814 0 0 0 14157447.4011071 NA NA 3689663.43156358
2007-04-15 4 37 15 2007 0 0 0 0 0 0 47.1524165123255 0 0 0 13751765.795553 NA NA 3806118.91876027
2007-04-22 4 38 22 2007 0 0 0 0 133.096783379791 0 53.1554176236509 0 0 0 15787295.2841421 NA NA 3275565.7679374
2007-04-29 4 39 29 2007 0 0 0 0 0 0 59.1596711531167 0 0 0 15334095.6255243 NA NA 3770082.50486111
2007-05-06 5 40 6 2007 0 250147.572583736 278.118588899314 0 3448.00882401719 0 65.8873989016217 0 0 0 22002165.8891914 NA NA 3099336.95541626
2007-05-13 5 41 13 2007 0 885199.748842695 0 0 71057.2755134444 2280.00323507487 65.8873989016217 0 0 0 22374668.9809044 NA NA 2464284.7791573
2007-05-20 5 42 20 2007 0 902071.580231078 0 0 55015.3085632489 0 65.8873989016217 0 0 0 26613642.0601823 NA NA 2447412.94776892
2007-05-27 5 43 27 2007 0 0 0 0 0 0 40.2043283219825 0 0 0 24043353.4656931 NA NA 3880029.43440872
2007-06-03 6 44 3 2007 0 0 0 0 0 0 42.7920380233174 0 0 0 22235996.5324694 NA NA 3950913.66347312
2007-06-10 6 45 10 2007 0 0 0 0 0 0 40.0117660334665 0 0 0 19106251.0505722 NA NA 3788455.75055836
2007-06-17 6 46 17 2007 0 0 0 0 0 0 27.1133283299173 0 0 0 16118143.246941 NA NA 3952315.63778648
2007-06-24 6 47 24 2007 0 0 0 0 0 0 12.61222556333 0 0 0 12550914.3062989 NA NA 4519478.28374056
2007-07-01 7 48 1 2007 0 0 0 0 0 0 1.23768310241599 0 2831.6227737149 0 9164512.30536871 NA NA 4206648.68297793
2007-07-08 7 49 8 2007 0 0 0 0 0 0 0 0 3275.96161172671 0 6119760.58784933 NA NA 4040470.84342159
2007-07-15 7 50 15 2007 0 0 0 0 0 0 0 0 20372.0351101996 0 4935557.59639951 NA NA 3454512.77534926
2007-07-22 7 51 22 2007 0 0 0 0 0 0 0 0 29583.9389036552 0 3285141.7589931 NA NA 3948667.71550057
2007-07-29 7 52 29 2007 0 0 0 3776.52357206256 0 0 0 0 50170.043378383 0 1989011.58032316 NA NA 3673817.45879998
2007-08-05 8 1 5 2007 0 0 0 17805.9797133562 0 0 0 0 63223.9175382096 0 1627242.09204699 NA NA 3264097.20290384
2007-08-12 8 2 12 2007 0 71018.2302535117 0 23141.7338025958 0 0 0 0 68681.7038052798 0 1726624.1809286 NA NA 2755544.29374649
2007-08-19 8 3 19 2007 0 770818.669388796 0 27011.810019168 0 0 0 0 72387.9570067327 0 1966683.03692409 NA NA 2055743.8546112
2007-08-26 8 4 26 2007 0 359957.640089704 0 24683.1446145595 0 0 0 0 70740.9428459 0 2008491.77772639 NA NA 2424923.7479103
2007-09-02 9 5 2 2007 0 0 0 19561.0375584251 0 0 0 0 65726.2660612876 0 2258144 NA NA 2837909.578653
2007-09-09 9 6 9 2007 0 624921.42582678 271.914035981836 0 0 0 0 0 68032.6820908023 0 2660809 NA NA 2103753.22617322
2007-09-16 9 7 16 2007 0 647491.469094171 400.929819117033 0 0 0 0 0 69192.693532186 0 2945739 NA NA 2081183.18290583
2007-09-23 9 8 23 2007 0 728999.027753808 0 0 0 0 0 0 66379.6089715081 0 3414955.45463844 NA NA 1999675.62424619
2007-09-30 9 9 30 2007 0 906663.397762769 0 0 5418.27518817281 0 0 0 70471.2818242077 0 3853684.92163797 NA NA 1822011.25423723
2007-10-07 10 10 7 2007 0 971996.118969603 195.116802069041 0 3827.14802370495 0 0 0 73761.0159795365 0 3902184.72679184 NA NA 1780147.2810304
2007-10-14 10 11 14 2007 0 845309.001831586 1970.46862878383 0 0 0 0 0 71457.1878861992 0 3847163.43333002 NA NA 1906834.39816841
2007-10-21 10 12 21 2007 0 1057900.29790459 2170.1495996662 0 11774.4753414737 0 0 0 73375.3436880688 0 3836847.7201031 NA NA 1694243.10209541
2007-10-28 10 13 28 2007 0 781344.968650494 2213.08469931087 0 0 0 0 0 72194.6077795482 0 3847232.42605955 NA NA 1970798.43134951
2007-11-04 11 14 4 2007 0 973583.395206537 0 0 5838.11891311991 0 0 0 64116.4574653751 0 4002844.35228619 NA NA 1855862.62479346
2007-11-11 11 15 11 2007 0 0 0 0 0 0 0 0 69305.0064237008 0 3998861.37500188 NA NA 3184992.58762504
2007-11-18 11 16 18 2007 0 508301.825134238 0 0 0 0 0 0 81601.812005059 0 4224828.53674071 NA NA 2560214.55886576
2007-11-25 11 17 25 2007 0 412794.444293192 0 0 0 0 0 0 84616.072151707 0 4173221.80155084 NA NA 2655721.93970681
2007-12-02 12 18 2 2007 0 432062.318382606 0 0 0 0 0 0 80626.8064856215 0 4600155.18028827 NA NA 2528442.18561739
2007-12-09 12 19 9 2007 0 355796.118232035 0 0 0 0 0 0 83702.8020047042 0 4209389.17963239 NA NA 2928233.39376797
2007-12-16 12 20 16 2007 0 146661.959366434 0 0 0 0 0 0 85734.1007151675 0 4731492.11878597 NA NA 3137367.55263357
2007-12-23 12 21 23 2007 0 810849.173701524 0 0 0 0 0 0 85682.2843401605 0 5593788.195307 NA NA 2473180.33829848
2007-12-30 12 22 30 2007 0 796224.028542415 0 0 0 0 0 0 86486.9615643924 0 5586061.89792016 NA NA 2487805.48345758
2008-01-06 1 23 6 2008 0 555736.489330184 0 0 0 0 0 0 61275.062441318 0 5438565.56218842 NA NA 2730017.28266982
2008-01-13 1 24 13 2008 0 1321.80915665359 0 0 0 0 1.06598622220167 0 78473.9802032621 0 5138213.98980384 NA NA 3284431.96284335
2008-01-20 1 25 20 2008 0 0 0 0 0 0 6.51233123763996 0 74953.8025289327 0 5726763.72991888 NA NA 3368208.78237446
2008-01-27 1 26 27 2008 0 0 0 0 0 0 11.1138550570549 0 58061.2140038272 0 6449672.79108351 NA NA 3469410.97433849
2008-02-03 2 27 3 2008 0 139176.710073886 0 0 0 0 11.8393183221458 0 57838.2841880095 0 7102534.72700142 NA NA 3159284.34192611
2008-02-10 2 28 10 2008 0 935545.200442625 73.2579548519348 0 0 0 11.8393183221456 0 78085.3278924659 0 6671588.53921934 NA NA 2274020.61155737
2008-02-17 2 29 17 2008 0 868681.423854837 86.5010665731161 0 0 0 16.9818019471313 0 78770.2512255579 0 5727358.0905251 NA NA 2270994.34814516
2008-02-24 2 30 24 2008 0 0 28.0562871595075 0 0 0 22.1003196441279 0 24906.7596491916 0 4779287.34558167 NA NA 3351173.37763492
2008-03-02 3 31 2 2008 0 0 1406.59954905918 0 0 0 27.6131307362839 0 0 0 4216300.72998746 NA NA 3297282.82296939
2008-03-09 3 32 9 2008 0 0 1870.50922211577 0 0 0 15.4306738342259 0 0 0 2711845.67535835 NA NA 3205324.26445582
2008-03-16 3 33 16 2008 0 0 1998.26556640301 0 0 0 16.5158394707364 0 762.90084540422 0 1357039.69256448 NA NA 3683108.64286894
2008-03-23 3 34 23 2008 0 0 1334.25084569302 0 0 0 25.2543889969393 0 0 0 936968.718868691 NA NA 4068673.95333145
2008-03-30 3 35 30 2008 0 0 0 0 0 0 34.4272770234284 0 0 0 520794.088607658 NA NA 4364696.38216529
2008-04-06 4 36 6 2008 0 0 752.833923968539 0 0 0 44.613795799117 0 0 0 15582502.6904704 NA NA 3749308.92468312
2008-04-13 4 37 13 2008 0 0 0 0 0 0 50.5590594804144 0 0 0 15231847.5223089 NA NA 3602807.1705428
2008-04-20 4 38 20 2008 0 0 0 0 0 0 56.5988049046744 0 0 0 16697452.3579825 NA NA 3937721.59658719
2008-04-27 4 39 27 2008 0 0 0 0 0 0 63.0220608763241 0 0 0 15916595.6822243 NA NA 3614382.06687865
2008-05-04 5 40 4 2008 0 0 0 0 0 0 69.8526791554884 0 0 0 21434545.6434641 NA NA 4136308.79701579
2008-05-11 5 41 11 2008 0 0 0 0 0 0 69.8526791554884 0 0 0 19425137.8815688 NA NA 3704892.51373819
