"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
2006-08-06 8 1 6 2006 280416.422652669 99619.3393494929 433734.354101348 238745.779436585 3784336.85943362 294407.279330875 297249.845701311 478899.438625232 254167.268632287 10358.2547307161 -9999 328482.502001966 3660241.53084856 32170.7625827671 14954.9227331811 160547.533954511 9946.21080292606 1353508.53569666 483286.40260825 1194701.63756353 5800.27896312283 3497143.17579246 5418.38544606489 125874.378790574 1236455.98547302 1232319.98035679 1249485.76993573 7010.90442577603 3560372.41275476 283688.269898543 176803.362457199 178273.02015361 258275.013506609 1119.168344416 478899.438625232 71051.6470733893 13447.4084659949 68148.1460518416 2082687.17521292 392856.55448784 1.96598715605001 1991779.3200643 1973691.05433063 260346.69523521 2056173.69700315 1932022.33607212
2006-08-13 8 2 13 2006 274631.773236438 121151.434308363 355397.881052983 312151.958329108 3254947.6442918 285794.07408092 288866.374189805 489525.449459513 252684.60900518 9461.27349269443 1837101.47344502 382315.18800797 3164023.00515179 21141.6899941088 12814.337082064 164543.848048392 8280.10719844049 1251187.73549015 492233.812315948 1236041.15361032 5977.88301599035 3045366.9718964 5091.65001279208 99468.9659816541 1278200.67619332 1278848.56575206 1280494.94041337 6650.26951143304 3246457.80575731 250695.893354898 199830.708500037 198136.168407054 257396.601892267 -510.54424694957 489525.449459513 51781.3163070853 11817.0186173743 76569.4245359181 1903932.45404887 345000.6241017 -739.160146673042 1883890.50289318 1883760.54638968 258829.60773563 1913510.56328429 1868682.16779035
2006-08-20 8 3 20 2006 182938.794293141 99763.9796925274 380836.318475326 223100.017096282 1757134.32204093 191716.288013125 195878.962329014 442406.266517367 170048.321095184 8983.02234667943 1044411.62090696 314924.605242754 1684742.7039793 31226.4119013007 16037.8771157566 86598.9908533062 9238.78938066343 847983.560837848 473417.61820406 656162.617932553 5546.44878523677 1584169.41506275 4811.35375860882 110180.077436053 694697.66157267 698307.762811504 700380.251781128 6908.21772884237 1798762.61901772 248722.435662646 165319.174302007 170625.21204068 176376.17344122 370.68007335378 470004.266517367 37384.482176669 10321.4306368864 70921.7697086868 1040809.47192191 329541.588322536 -497.445416485864 1045680.96128426 1054700.66131118 180025.784134175 1059316.98590124 1073751.17679377
2006-08-27 8 4 27 2006 190741.418186459 118048.458511403 361305.042806534 213111.734862107 1715975.70582706 201970.024408575 205061.626583361 415826.770604031 166923.833712434 8638.052514382 1077911.23155874 299515.131879067 1661245.64013992 41051.5201634172 13468.6978826106 77698.1997039811 8193.42898696985 849718.397423531 417848.995625159 597495.760067046 5378.31888570982 1581178.460402 4633.14534931552 102250.418940545 632754.503623742 635196.297795806 636952.79833035 6933.99826954389 1811502.13811056 250619.270777186 165611.362095602 165568.251194857 170493.162813013 1921.57307422592 415826.770604031 46651.6190615043 11267.7730561534 57722.6473623683 1117976.70001796 301517.16618263 -416.857506516828 1106375.24772884 1113245.05704181 171009.287204508 1130629.56248189 1114194.78696968
2006-09-03 9 5 3 2006 279889.795984242 110780.728762704 1198964.44428632 337070.370578804 1852828.90838001 276406.518157297 288455.554709789 513793.497355044 271603.28576425 8775.29089488925 1786576.81365314 676081.520005123 1850078.50946261 172036.670079581 39264.0836991555 160838.495529156 15598.9808054149 1686794.23086315 524752.527675111 791584.036333286 5819.62566432636 1854843.4138614 4582.52685624656 206604.662554412 844964.720214115 851743.938158168 853189.159376112 8240.42711321471 2107228.67047432 424417.11819192 168168.159923529 157544.017779249 279820.903212989 2832.0516381787 513793.497355044 45018.9485016423 15093.042575152 77649.2914357818 1492961.07965104 520157.066394127 275.922453134832 1634469.34899098 1693949.71626545 282117.977742498 1542424.48521426 1860305.48564937
2006-09-10 9 6 10 2006 198641.796345809 89224.5487022094 363461.726684669 192949.669142098 2820162.65562886 259777.527164432 263352.378235304 464354.445843361 159959.818188148 4841.04808720506 1384100.56803503 281549.049309848 2788270.24159053 25732.0790350362 11865.4415759075 57220.7088197171 7384.37816718865 1294804.04316087 535989.959695322 592743.721544881 5124.00839009988 2909208.17496018 3771.00307970911 83969.4095426481 628049.423508906 626338.639752111 634642.497898985 5644.94405780775 2796670.11236222 144296.531329617 175568.536332168 170088.604517672 164406.337474457 776.46114243791 520295.123924633 35698.901922884 10122.6008716614 65847.8227596179 1769592.48124793 264471.008438869 596.009376699011 1612493.26185878 1555043.4264127 159906.250489977 1716056.71999774 1449330.22880681
2006-09-17 9 7 17 2006 164249.186256088 87757.1807033368 412940.854788741 184596.797677053 1761304.41505485 219437.999406151 225509.058604357 435407.96649372 147101.204988434 5293.91445710526 893192.112834056 323926.167042255 1668372.9926075 31432.133747921 11011.4120084769 57543.73624617 7179.84620982781 952605.535621973 532554.803291279 567685.835714569 5200.79899657956 1681358.27906705 3674.53556015715 82600.5258289514 611194.880278532 614265.533860556 609973.162931817 5880.17116413736 1722925.3631604 149409.897943702 150082.814957903 153002.276580817 154366.266375788 1755.64977167458 518946.644574992 30712.2157285207 10273.7916989238 64954.2677275432 955612.235400174 359223.704788131 -104.30465418388 944180.64552155 937757.083546957 153567.662499572 977541.686656906 922531.720873631
2006-09-24 9 8 24 2006 197823.034246502 85759.1190615726 363848.3884125 171838.932830831 1537301.62737227 254600.492202472 259395.665718838 391212.455237455 179660.858008791 4154.07438522745 898085.213965022 294080.410971759 1514559.57190107 18888.4393948637 9037.3290221199 97692.4934805614 5571.33255017834 944915.447327936 485045.503320013 508803.843348589 4952.02214039977 1558482.6007571 3486.68307880308 70205.4655407792 549969.027757436 552898.323952642 549246.240665395 6257.05457780147 1667264.72199026 127015.475358326 139564.815319335 147560.275085647 185946.32862975 -1426.62293596965 474751.133318727 37193.7650893744 9914.68435112232 54739.3560626562 970141.137995357 338043.260113395 366.470413403453 949379.056129679 939798.312169191 184886.339959544 990071.390913434 914805.372962147
2006-10-01 10 9 1 2006 181156.534803591 86194.5055454534 324138.209750761 57541.5783496979 1348437.51711988 238055.978535519 242236.255615361 374868.940529794 165133.412149333 4127.96286020266 733549.101649834 182916.124015655 1317896.07400019 12134.9520218326 9543.90078452372 102327.104066746 4607.76536476296 790495.725696878 468971.722082799 509658.658276952 5072.60412292164 1335990.50206147 3497.953992388 65060.5540781324 551547.254912506 554215.471065012 549378.395177347 5430.04072548063 1474688.95322589 110520.337940033 132662.221575457 126857.105653519 171207.770758886 2250.69855292571 458407.618611066 38617.353611714 9984.92609000954 51071.3282947864 783926.623279218 325766.269563118 124.070247805955 771694.640568564 764438.754851032 170523.310917664 810315.249447574 741022.435011876
2006-10-08 10 10 8 2006 121186.825423747 81422.1810886083 409628.741051244 55418.5579658959 1214422.22021885 235412.215389899 233870.927848613 377902.609917399 98261.830673481 4101.26751287687 704420.802372637 182524.038468569 1177811.01335917 24694.6320966706 10554.1352707725 20466.54483284 3805.81008506238 782951.547128744 445816.162684048 489788.280252828 4664.40238189525 1113734.29528295 2890.00624827513 77872.6943257365 525530.552634753 524757.47691056 526919.773733946 5453.23525108919 1347218.7218749 111014.345933383 130272.240672814 123441.781906671 102351.207870434 1333.66610710202 435372.527359824 38606.3543103489 10407.1658877352 66467.1165016412 717528.933751135 314142.150698397 69.85124270133 719198.168686282 716948.158296569 102745.096312922 745105.937529487 712152.750025768
