"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit" "Total_ORCEnergyContent"
2006-08-06 8 1 6 2006 5382769.52204643 NA 0 3312101.59498359 1265554.73011007 0 1295156.15085653
2006-08-13 8 2 13 2006 3709031.67929217 NA 0 3151307.93529264 632777.333563267 0 662378.754309731
2006-08-20 8 3 20 2006 1999279.65430097 NA 35235.1031828399 1888051.60081716 0 904180 0
2006-08-27 8 4 27 2006 2464330.91304622 NA 26517.8602563478 1855087.70774365 0 904180 16300.0472611534
2006-09-03 9 5 3 2006 2666076.9291625 NA 0 2769972.16711781 0 15813.4008821892 60766.6903178559
2006-09-10 9 6 10 2006 1804448.89625689 NA 0 2060861.83759807 168804.394108897 668801.794401929 318968.175148596
2006-09-17 9 7 17 2006 1926439.37050652 NA 533035.127845788 1207648.50415421 94363.4115368968 988980 466370.239537838
2006-09-24 9 8 24 2006 1690408.09337325 NA 613564.380907691 1127119.25109231 104758.663172762 988980 472204.482122679
2006-10-01 10 9 1 2006 1254936.68608566 NA 663732.290418425 1076951.34158157 41785.804743368 988980 391532.662806465
2006-10-08 10 10 8 2006 1261957.69071238 NA 653576.529888312 973972.590111688 49138.5625988157 1125720 430719.48683602
2006-10-15 10 11 15 2006 1242198.14748979 NA 571395.918995266 1056153.20100473 65456.5078487435 1125720 439854.59772508
2006-10-22 10 12 22 2006 1383085.15997588 NA 609333.686057561 1018215.43394244 93830.2057950543 1125720 516010.177132884
2006-10-29 10 13 29 2006 1331141.30253067 NA 495282.878818433 1132266.24118157 91361.444528293 1125720 452576.550942618
2006-11-05 11 14 5 2006 1329757.34090909 NA 416986.90175962 1210562.21824038 100763.186558156 1203100 468410.989937684
2006-11-12 11 15 12 2006 1450633.13716028 NA 211169.219080351 1751813.80491965 1530.76826169136 1203100 221044.924817939
2006-11-19 11 16 19 2006 1568420.07747707 NA 792577.290477032 1170405.73352297 12162.6669779767 1106640 295803.613951702
2006-11-26 11 17 26 2006 1406210.74021552 NA 853356.953282177 1109626.07071782 899.812975470852 1106640 315258.111601324
2006-12-03 12 18 3 2006 1351610.26410627 NA 777347.908066794 1185635.11593321 35036.3057547885 998520 453522.158422649
2006-12-10 12 19 10 2006 1768119.95289687 NA 335286.110663598 1951221.9213364 397890.270327895 998520 712803.084340784
2006-12-17 12 20 17 2006 1761616.15063804 NA 648384.032375064 1638123.99962494 223665.551323777 998520 686513.274843752
2006-12-24 12 21 24 2006 2017805.60011591 NA 681464.892341263 1605043.13965874 269271.619160263 998520 752001.226071745
2006-12-31 12 22 31 2006 2081492.01599398 NA 384269.020330045 1902239.01166995 133725.609506884 998520 493858.59019785
2007-01-07 1 23 7 2007 3635513.84061126 NA 41831.7917114431 2234752.16028856 2688893.58698861 1010180 3203582.96031477
2007-01-14 1 24 14 2007 3290737.83724442 NA 0 2347356.60873016 1576518.7533052 939407.343269836 2239037.58635646
2007-01-21 1 25 21 2007 3255447.85272331 NA 82391.7604733668 2194192.19152663 1240144.95371055 1010180 1995649.18912593
2007-01-28 1 26 28 2007 3253613.50352879 NA 299261.554916521 1977322.39708348 701889.972750123 1010180 1450672.38011727
2007-02-04 2 27 4 2007 2943598.85787484 NA 237418.336111863 2039165.61588814 109222.663794414 1022900 612323.116033687
2007-02-11 2 28 11 2007 3065934.48131219 NA 79736.5090069363 2038062.16299306 913146.93111143 1092860 1449004.34843427
2007-02-18 2 29 18 2007 2537334.06848853 NA 98747.61679927 2019051.05520073 106852.456929668 1022900 505408.018059298
2007-02-25 2 30 25 2007 2633840.29725399 NA 209321.291559197 1908477.3804408 327710.063747292 1022900 676421.085620813
2007-03-04 3 31 4 2007 3175835.02711673 NA 0 2132691.60174438 877281.374052054 1008007.07025561 1206295.55357782
2007-03-11 3 32 11 2007 3268534.71593332 NA 0 2215508.75132224 1104592.49531625 739108.656677761 1460286.70992781
