"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1979-08-05 8 1 5 1979 343461.956743754 139515.028798599 332320.918708312 188859.793105651 3308012.1328449 349846.775099584 356256.142710202 674679.996400162 342730.286448221 18534.6019033112 1719324.36187432 478863.03265239 3214732.57795789 30340.2893195343 584674.118173481 185190.88344851 125915.644726936 1651143.55375573 677071.22820732 1365635.28895431 5387.13230726085 3115977.60741334 7084.28251529066 181071.000097695 1401810.18468885 1403640.41643602 1410816.32107888 6536.01987269393 3097989.25400613 209211.962764535 156817.693831448 141420.668475959 341605.165038968 27559.9410072349 674679.996400162 40524.9877414859 56117.1926679632 78695.4122406613 1797405.73672727 304276.414960889 1156.26452794334 1776262.96440953 1758038.1778567 354614.783815803 1762728.65758933 1731142.80993469
1979-08-12 8 2 12 1979 341295.341152025 149119.089707638 328122.051972047 277547.156548759 3500926.59769308 345305.543441084 353191.703635032 611741.386204302 336339.121468469 23544.5661654547 1904175.70685876 525121.662898631 3396919.19202745 32876.9848178807 697326.780411217 196163.647555888 146230.281786713 1837023.61519673 613570.922045111 1382450.44889638 6688.80073632013 3304061.50738955 8309.44337162329 274004.596367219 1414638.09058989 1418080.72345621 1419955.39515469 5959.06986085838 3291938.45097466 245051.296412215 162323.956940692 145830.936707997 338049.069480615 33612.48260276 611741.386204302 44691.7506549738 55109.0807557101 78056.9632553625 1978665.3198742 326553.725817663 1015.04235329397 1961416.74845461 1945387.02593155 347715.42469202 1947295.44434893 1914445.63601604
1979-08-19 8 3 19 1979 221634.170468874 172522.28696599 294027.300450719 176605.87685224 1942317.98054764 224478.156869011 232785.320276611 740555.330976137 220151.255363036 16667.5054656062 1000838.77434916 198381.127384599 1860504.03384398 36418.2251164415 128683.210684292 77803.8768218504 30361.873889999 942315.529322235 732730.789120954 822750.476311828 9042.90354209559 1782604.35864597 6610.19308408524 173297.37820622 899037.083432696 924939.625766641 885324.432401738 9132.26863006969 1803157.25027175 234163.731784739 195513.786544939 169945.842967569 222186.730425719 56640.1340741678 740555.330976137 46353.9636466976 12923.0764883262 75805.1276032953 1061709.5394711 285376.258777946 894.629589571939 1047333.52541137 1035615.92515352 232427.754277281 1030619.02057029 1017492.07716455
1979-08-26 8 4 26 1979 227642.784806017 138200.584907244 347089.204563038 176702.579118365 2179887.2654282 229349.681201944 238650.356831112 625547.069463077 231132.927350486 16151.5271220894 1063314.61021437 210878.063476786 2080746.05940109 40545.7338803969 131344.16688795 96831.043136592 30589.6471555354 1002240.14374171 632512.151885335 903432.663694018 5914.71730105848 1993202.14604076 4267.63310178789 173893.90949507 910723.647538343 901928.658119129 936498.583342695 6412.00324814967 1976507.78524582 235456.337920722 160491.813769639 140606.598170502 234192.773943066 34893.5418098407 625547.069463077 36847.3316472674 9718.66 74164.1465387915 1144441.32988362 271669.74595472 652.385276965433 1134178.57213041 1125334.34328745 246284.751122034 1113955.26392861 1109789.12666805
1979-09-02 9 5 2 1979 224685.965472184 116285.087836615 254551.554108809 176433.094632265 1982264.7647282 229450.019423861 234515.023098645 574421.712780103 213498.325197795 15022.8849403625 991053.796578165 210715.155017093 1921582.9735862 42317.9041451754 127472.26863356 77168.8085709738 30787.4597560144 933237.422614707 579166.910479709 780341.236922464 5392.77495403486 1834731.7877994 3839.32718849881 170548.077770091 803932.887064086 804211.42550517 814061.6255632 5871.33289198799 1804062.64308249 208257 132010.741869401 117413.866547901 211235.763469784 23560.7391396024 574421.712780103 30879.3312360996 9718.66 78802.6881759809 1081252.5625617 238352.511201393 781.140898653699 1061346.74852289 1050614.7986196 221578.452592126 1048975.08202454 1028645.21600095
1979-09-09 9 6 9 1979 257350.197214259 109567.211243734 436713.640881045 169430.332989886 1784562.1728982 260207.524405066 258431.684595761 620190.419344681 183195.87638005 14932.9054601695 992754.81464649 349856.435179445 1828691.35637534 76287.0360622444 59216.7139345277 61859.3551462949 28737.1845787261 972224.551009772 635762.13212494 735760.046294099 4851.9586530249 1751055.6625913 3061.76912529574 160545.57432656 755142.427506814 753134.838524599 768430.309269138 6415.82515104617 1727434.53405037 192498.785023677 120527.446673802 111290.576531323 174545.304050868 5311.59647044842 620190.419344681 27083.4617092833 9718.66 88981.5104866149 1043974.92876444 259966.798893585 1214.67802401346 1050529.24948488 1046115.17230974 188326.864033526 1018727.24749496 1049441.89786555
1979-09-16 9 7 16 1979 235292.54714085 103021.193714542 539745.458454303 153839.367457481 1915632.17584837 238282.936587112 236534.460352441 601926.193379699 163125.404300663 21991.9843820706 1004326.00622437 249150.814348204 1954252.44038055 75793.8211886074 57793.6005347483 55342.8099529322 27331.2377116969 952563.968196779 614524.394096192 687351.429732571 4718.29892370189 1877495.81310536 2834.785810031 150026.26148676 711171.358073113 712124.735184141 717583.003255505 5912.94065847889 1818642.06982711 241762.824956893 113792.014913479 105175.384681121 156465.875609996 4867.95321497836 601926.193379699 25467.3345487938 9718.66 71497.862483138 1105746.41510555 307922.191989223 741.425304199809 1074684.53580886 1059954.42873964 169668.747809303 1068057.12339689 1027847.55149134
1979-09-23 9 8 23 1979 222230.083212745 99433.8405369618 361970.258725181 143614.992466685 1818045.94817134 225173.641565385 223441.42032137 577129.135466635 150825.42369668 21367.9329445523 833371.12882697 223715.353382909 1841538.58634296 83676.941684762 56872.7701786794 47992.1586907594 26197.1013788274 785712.600122117 588874.103161179 653210.657834806 4665.3102974451 1763713.59698908 2815.57183060143 140577.67524559 678069.273237611 679391.608783904 682071.761331904 5556.64864430379 1670707.31464243 254329.995785518 110007.201768452 101667.22741056 144844.441993827 4658.49176233846 577129.135466635 25003.5705885669 9718.66 64427.3613385508 949227.411916904 295132.206527763 588.308957230887 906396.945579763 888699.862106949 156951.68553816 915122.174991408 843864.153176507
1979-09-30 9 9 30 1979 260212.191679051 104579.177232405 362430.930982617 57653.2105982437 1525631.58861817 262579.345855391 261192.994463595 666102.194242254 191015.033515904 21257.6246693477 709543.463256882 156456.947347907 1551284.35160678 88426.3273479073 56778.3322340786 91478.7417621312 71110.9144509229 685489.673947541 673875.18539915 704808.796365749 5183.26912240838 1490493.65786881 3145.87117078376 55535.2 737373.69664837 743965.210035846 736134.267876248 7252.40038932522 1439034.72787935 255660.178717679 116640.441410484 106267.063156182 185540.20881188 75329.2020665356 666102.194242254 26935.675842031 9718.66 63927.6325689835 752408.208360705 296543.162935916 630.932040704676 742239.734796713 735481.586000833 197470.390045917 734873.640614461 711309.506648407
1979-10-07 10 10 7 1979 258713.593920894 84907.0878597803 424269.228264469 55475.8423600941 1441278.70267092 268316.091735731 261280.979272715 487447.898818068 124560.648695113 13873.948878939 758360.34627851 149106.69946995 1456775.67488403 81076.0794699498 18048.94 44428.16 5553.52 724756.250828335 499188.625384551 562294.709860475 4053.88185751878 1356722.06949362 2373.68380290619 55535.2 591947.973263429 589032.48114156 595804.369906592 4899.67571616268 1314262.30053736 258186.926404263 112192.101052513 98049.6832648612 120518.719208019 4347.67051787232 487447.898818068 22338.3468429484 9718.66 54798.5746815447 780115.247647665 288737.555547999 546.139779676247 774754.305170583 773811.229847404 129283.473088749 760768.865866507 769105.140493268
1979-10-14 10 11 14 1979 255522.112349232 79793.3781962814 379417.48939388 55690.7086952928 1501798.88208273 264784.081016892 257997.972917877 436402.779951276 122309.778292757 13640.4400934505 743212.03890086 146266.234886851 1501218.40074117 78235.6148868506 18048.94 44428.16 5553.52 702020.797627999 444283.962531408 494257.940741831 3943.05165716429 1390491.20035609 2259.90678579908 55535.2 522263.894115974 522212.032776764 523763.772401775 4522.34510430088 1319888.65695742 265777.22913816 103958.690214856 91475.6611053047 118403.750481091 3737.67801614106 436402.779951276 21289.9091337265 9718.66 52758.44 803636.849940797 286588.54109465 468.600564846289 782122.738158617 775719.25309338 126932.003903604 779337.14195853 755921.227666829
1979-10-21 10 12 21 1979 253820.073983704 98954.6882068841 399921.198654611 60482.6858648785 1352084.80885424 261764.444959983 255711.4617241 499229.762311695 125207.776352811 14024.0531284693 705135.926819034 141246.850693631 1356905.45646371 73216.2306936307 18048.94 44428.16 5553.52 682426.033496719 501065.81730944 525656.341303705 6857.82237967249 1250168.78581737 3574.86792244217 55535.2 575850.153131564 593060.919063051 573465.87926799 15065.4547130999 1206885.7656293 262643.014368944 130647.707594997 109461.994768437 120945.456196931 5368.97994506413 499229.762311695 31095.3117497298 19291.6769824522 79280.353256307 721162.858768468 284194.300013168 1737.64153865651 718826.729009492 719668.370903014 132380.002742822 703357.965181848 719701.657609491
1979-10-28 10 13 28 1979 284712.166881569 135070.98943052 353097.181868073 71761.0881887156 1819051.16345514 296923.781692794 287879.068995408 757930.682385904 141018.69633177 16443.7080487756 778721.384116137 112646.465142008 1838713.64930021 38863.9551118562 18048.94 44428.16 5553.52 733056.949410498 773279.032881886 828058.693818053 6113.35980449885 1669892.69150288 5136.24158453767 55535.2 883967.00914414 892576.499044309 893326.269161687 19806.395480287 1626183.11016558 204816.96242267 181992.273366158 151869.861953193 132520.544991634 6805.19429118592 757930.682385904 40531.5216444491 22606.5821905657 109094.471242557 855338.901960303 224869.423973556 1078.56079103253 841603.617433864 835717.476940582 143205.141134267 823237.979684835 828198.306961563
1979-11-04 11 14 4 1979 290364.637314264 99914.9796801519 335885.268077659 65537.2090989815 2326639.7546998 301543.340877647 295949.701180854 808080.322059264 146336.182083645 14726.9741638813 959267.725038672 125747.765220576 2325556.19887809 18508.2590269004 18048.94 44428.16 5553.52 893778.141264133 819702.502454971 997861.406392547 4843.71926423706 2192170.78864995 3474.97458034047 55535.2 1002140.78206549 989660.500775028 1024674.3227991 309552.080386686 2155879.4684835 171275.650484166 131108.74011476 116411.804986486 142361.486390887 2445.00996717001 808080.322059264 26581.2437471421 12462.8303470798 73561.9480473591 1060539.93753339 180521.055837424 423.040377808502 1034729.98391149 1024804.94551605 152008.913920678 1016254.17034858 1013931.43777028
