"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1979-08-05 8 1 5 1979 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1676000 850000 1401000 135205 100500 1672590 95180 1011000 847192 1120000 558270
1979-08-12 8 2 12 1979 20075000 7327300 1424900 638280 5671467 2933124.90438303 8549430 2782067 1420000 1792000 1540000 1661833 847000 1401000 135205 100500 1672590 95180 1011000 800452 1120000 558270
1979-08-19 8 3 19 1979 20075000 7327300 1424900 682960 5572500 2910063.13409714 8409937 2667744 1420000 1792000 1540000 1654750 847000 1401000 135205 100500 1672590 95180 1011000 800452 1120000 558270
1979-08-26 8 4 26 1979 20073116 7321562 1423330 727640 5473533 2887000.36381124 8270445 2553422 1420000 1792000 1540000 1647667 847000 1401000 135205 100500 1672590 95180 1011000 799773.604524557 1120000 558270
1979-09-02 9 5 2 1979 20064716.6340017 7315823 1421759 772320 5374567 2863937.85657455 8130952 2439100 1392402 1792000 1540000 1640583 847000 1401000 135205 100500 1672590 95180 1011000 798501.967524229 1120000 558270
1979-09-09 9 6 9 1979 20026140.4544596 7239906 1391990.5112384 737712 5275600 2840875.08628865 8239435 2387014 1343136.47461532 1792000 1482126 1633500 847000 1401000 135205 100500 1672590 95180 1011000 797482.702070976 1120000 558270
1979-09-16 9 7 16 1979 19947567.8091466 7163989 1354627.59192953 764141 5176633 2817813.31600276 8347918 2334849 1266272.94923063 1792000 1424251 1617133 847000 1401000 135205 100500 1672590 95180 1011000 795892.184073993 1120000 558270
1979-09-23 9 8 23 1979 19810086.8838039 7088071 1284385.77257134 790571 5077667 2794750.54571686 8456401 2282683 1189409.42384595 1792000 1366377 1600767 847000 1401000 135205 100500 1672590 95180 1011000 793966.661369568 1120000 557970
1979-09-30 9 9 30 1979 19684774.0672666 7012154 1220618.02057342 796253.362535905 5062722.1603624 2726227 8564884 2230518 1112545.89846127 1792000 1308502 1584400 847000 1401000 135205 100500 1672590 95180 1011000 793863.296249909 1050000 557670
1979-10-07 10 10 7 1979 19492912.1029299 6937496 1155513.54234081 799348.25563585 5044946.07545919 2722854.04722809 8673368 2219031.41021561 1063213.74396499 1768113.50856956 1199292 1574007 847000 1401000 135205 100500 1672590 95180 1011000 791733.176357407 1050000 557370
1979-10-14 10 11 14 1979 19282330.3092665 6862838 1085639.50313135 795048.825150996 5022976.37580489 2719257.58843969 8781851 2207307.11305849 1013881.58946871 1743828.48779422 1090082 1563613 847000 1401000 135205 100500 1672590 95180 1011000 789125.922704257 1050000 554957.259258608
1979-10-21 10 12 21 1979 19077035.5224956 6788181 1031340.67547479 798717.047961167 5007572.29265848 2717570.16778073 8890334 2209982.34651765 964549.434972437 1727562.26470072 980873 1553220 847000 1401000 135205 100500 1672590 95180 1011000 789125.922704257 1050000 556770
1979-10-28 10 13 28 1979 18928150.126411 6713523 1013195.55071944 817000 4999367.27183529 2718578.496891 8943846 2227949.77139743 915217.280476161 1717673.83514393 871663 1542827 847000 1401000 135205 100500 1672590 95180 1011000 789125.922704257 1050000 556470
1979-11-04 11 14 4 1979 18820518.0039933 6638865 1009772.14322923 817000 4986334.57513888 2717092.27864767 8943846 2227920.16704396 865885.125979885 1705020.53871575 762453 1532433 847000 1401000 135205 100500 1672590 95180 711000 789125.922704257 1050000 556170
1979-11-11 11 15 11 1979 18663253.6449611 6e+06 983436.612095787 817000 4957661.28795574 2711956 8904440 2218480.82387486 931724.985232399 1686047.75863277 810031.046783355 1522040 847000 1401000 135205 59960 1672590 95180 711000 790889.607400902 1050000 555870
1979-11-18 11 16 18 1979 18301911.7692345 6e+06 887912.891615682 815745.146997508 4926133.17344579 2653781 8802960 2208016.27134176 997563.844484914 1694520.29523909 630751 1511647 847000 1401000 135205 59960 1672590 95180 711000 790584.084890909 1050000 555570
1979-11-25 11 17 25 1979 17916524.885677 6e+06 797147.502296626 816650.238013481 4893874.92625936 2595605 8701480 2200675.51149914 1063403.70373743 1703811.95050666 564899 1501253 847000 1401000 135205 59960 1672590 95180 711000 791743.113232131 1050000 555270
1979-12-02 12 18 2 1979 17583769.5151611 6e+06 732221.734520302 817000 4861206.41842761 2537430 8600000 2189671.53821236 1129242.56298994 1712968.2152928 499048 1490860 847000 1401000 135205 59960 1672590 95180 711000 610000 1050000 552552.967558368
