"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 258203.077971429 18303.0000000015 1895339.20388571 112673.077971429 968118.514585715
1979-08-12 8 2 12 1979 151227.246014286 368723.165878023 911481.56405715 82103.816314286 1013342.56282857
1979-08-19 8 3 19 1979 136694.747551428 732851.889675001 729476.520757139 118202.996314286 1064726.37365714
1979-08-26 8 4 26 1979 129889.258732858 738417.014635712 622525.757857145 146096.555014286 965195.777371429
1979-09-02 9 5 2 1979 136723.706234285 875395.851541097 553195.497542857 114771.590742857 899066.839942857
1979-09-09 9 6 9 1979 134836.829864285 377935.699021837 370234.377522144 125857.212557143 382397.252510426
1979-09-16 9 7 16 1979 127387.50622 365639.199828905 157611.407819983 150971.927785714 295212.771036599
1979-09-23 9 8 23 1979 128445.48988 417476.258471985 71292.8026504628 151442.010514286 245773.1286
1979-09-30 9 9 30 1979 127947.241857143 600947.941533346 7725.47247329168 161861.185928571 273438.588085714
1979-10-07 10 10 7 1979 122543.472297142 737217.438827071 0 183217.2228 246395.938628571
1979-10-14 10 11 14 1979 139387.905057143 1400001.34617258 0 121860.517628571 319361.902071429
1979-10-21 10 12 21 1979 124158.414734286 1878943.66108513 0 144751.761385714 352698.106371429
1979-10-28 10 13 28 1979 127099.704515714 2157830.94271377 0 161299.863514286 322890.497742858
1979-11-04 11 14 4 1979 136257.392101429 832159.65167797 0 168136.889528571 355252.817571428
1979-11-11 11 15 11 1979 133273.259337143 2041331.72196943 0 177181.519242857 375005.926471428
1979-11-18 11 16 18 1979 136988.102975715 1678427.00187932 0 168099.203571429 390790.3921
1979-11-25 11 17 25 1979 137595.441927143 810729.771667856 0 161837.384271429 346547.078414286
1979-12-02 12 18 2 1979 140288.599432856 1162636.5361 0 141488.950885714 705537.155925511
1979-12-09 12 19 9 1979 135555.243215715 3273817.60887925 0 154078.044042857 355088.351099999
